run,width,offset
62525,24,original
62526,25,original
62527,26,original
62528,27,original
62529,28,original
62530,29,original
62531,30,original
62532,31,original
62533,32,original
62534,33,original
62535,34,original
62536,35,original
62537,36,original
62538,37,original
62539,38,original
62540,39,original
62541,40,original
62542,24,-2000
62543,25,-2000
62544,26,-2000
62545,27,-2000
62546,28,-2000
62547,29,-2000
62548,30,-2000
62549,31,-2000
62550,32,-2000
62551,33,-2000
62552,34,-2000
62553,35,-2000
62554,36,-2000
62555,37,-2000
62556,38,-2000
62557,39,-2000
62558,40,-2000
62559,24,-1900
62560,25,-1900
62561,26,-1900
62562,27,-1900
62563,28,-1900
62564,29,-1900
62565,30,-1900
62566,31,-1900
62567,32,-1900
62568,33,-1900
62569,34,-1900
62570,35,-1900
62571,36,-1900
62572,37,-1900
62573,38,-1900
62574,39,-1900
62575,40,-1900
62576,24,-1800
62577,25,-1800
62578,26,-1800
62579,27,-1800
62580,28,-1800
62581,29,-1800
62582,30,-1800
62583,31,-1800
62584,32,-1800
62585,33,-1800
62586,34,-1800
62587,35,-1800
62588,36,-1800
62589,37,-1800
62590,38,-1800
62591,39,-1800
62592,40,-1800
62593,24,-1700
62594,25,-1700
62595,26,-1700
62596,27,-1700
62597,28,-1700
62598,29,-1700
62599,30,-1700
62600,31,-1700
62601,32,-1700
62602,33,-1700
62603,34,-1700
62604,35,-1700
62606,36,-1700
62607,37,-1700
62608,38,-1700
62609,39,-1700
62610,40,-1700
62611,24,-1600
62612,25,-1600
62613,26,-1600
62614,27,-1600
62615,28,-1600
62616,29,-1600
62617,30,-1600
62618,31,-1600
62619,32,-1600
62620,33,-1600
62621,34,-1600
62622,35,-1600
62623,36,-1600
62624,37,-1600
62625,38,-1600
62626,39,-1600
62627,40,-1600
62628,24,-1500
62629,25,-1500
62630,26,-1500
62631,27,-1500
62632,28,-1500
62633,29,-1500
62634,30,-1500
62635,31,-1500
62636,32,-1500
62637,33,-1500
62638,34,-1500
62639,35,-1500
62640,36,-1500
62641,37,-1500
62642,38,-1500
62643,39,-1500
62644,40,-1500
62645,24,-1400
62646,25,-1400
62647,26,-1400
62648,27,-1400
62649,28,-1400
62650,29,-1400
62651,30,-1400
62652,31,-1400
62653,32,-1400
62654,33,-1400
62655,34,-1400
62656,35,-1400
62657,36,-1400
62658,37,-1400
62659,38,-1400
62660,39,-1400
62661,40,-1400
62662,24,-1300
62663,25,-1300
62664,26,-1300
62665,27,-1300
62666,28,-1300
62667,29,-1300
62668,30,-1300
62669,31,-1300
62670,32,-1300
62671,33,-1300
62672,34,-1300
62673,35,-1300
62674,36,-1300
62675,37,-1300
62676,38,-1300
62677,39,-1300
62678,40,-1300
62679,24,-1200
62680,25,-1200
62681,26,-1200
62682,27,-1200
62683,28,-1200
62684,29,-1200
62685,30,-1200
62686,31,-1200
62687,32,-1200
62688,33,-1200
62689,34,-1200
62690,35,-1200
62691,36,-1200
62692,37,-1200
62693,38,-1200
62694,39,-1200
62695,40,-1200
62696,24,-1100
62697,25,-1100
62698,26,-1100
62700,27,-1100
62701,28,-1100
62702,29,-1100
62703,30,-1100
62704,31,-1100
62705,32,-1100
62706,33,-1100
62707,34,-1100
62708,35,-1100
62709,36,-1100
62710,37,-1100
62711,38,-1100
62712,39,-1100
62713,40,-1100
62714,24,-1000
62715,25,-1000
62716,26,-1000
62717,27,-1000
62718,28,-1000
62719,29,-1000
62720,30,-1000
62721,31,-1000
62722,32,-1000
62723,33,-1000
62724,34,-1000
62725,35,-1000
62726,36,-1000
62727,37,-1000
62728,38,-1000
62729,39,-1000
62730,40,-1000
62731,24,-900
62732,25,-900
62733,26,-900
62734,27,-900
62735,28,-900
62736,29,-900
62737,30,-900
62738,31,-900
62739,32,-900
62740,33,-900
62741,34,-900
62742,35,-900
62743,36,-900
62744,37,-900
62745,38,-900
62746,39,-900
62747,40,-900
62748,24,-800
62749,25,-800
62750,26,-800
62751,27,-800
62752,28,-800
62753,29,-800
62754,30,-800
62755,31,-800
62756,32,-800
62757,33,-800
62758,34,-800
62759,35,-800
62760,36,-800
62761,37,-800
62762,38,-800
62763,39,-800
62764,40,-800
62765,24,-700
62766,25,-700
62767,26,-700
62768,27,-700
62769,28,-700
62770,29,-700
62771,30,-700
62772,31,-700
62773,32,-700
62774,33,-700
62775,34,-700
62776,35,-700
62777,36,-700
62778,37,-700
62779,38,-700
62780,39,-700
62781,40,-700
62782,24,-600
62783,25,-600
62784,26,-600
62785,27,-600
62786,28,-600
62787,29,-600
62788,30,-600
