ADC channel #,block density [g/cm3],cosmic MPV,light transmission [%],scintillation ratio,fiber type
0,8.86,0,97.6,1.58,SG47
1,8.86,0,98.05,1.58,SG47
2,8.86,206.82,94.9,1.58,SG47
3,8.86,206.05,98.05,1.58,SG47
4,9,0,98.8,1.47,SG47
5,9,0,98.95,1.47,SG47
6,9,319.8,97.75,1.47,SG47
7,9,336.34,100,1.47,SG47
8,9.03,0,97,1.69,SG47
9,9.03,0,99.7,1.69,SG47
10,9.03,355.66,94.75,1.69,SG47
11,9.03,304.12,99.55,1.69,SG47
12,8.63,0,96.25,1.71,SG47
13,8.63,0,100.15,1.71,SG47
14,8.63,0,96.4,1.71,SG47
15,8.63,255.43,98.5,1.71,SG47
16,9.03,299.57,97.6,1.32,SG47
17,9.03,269.52,98.05,1.32,SG47
18,9.03,268.68,95.65,1.32,SG47
19,9.03,277.84,98.5,1.32,SG47
20,8.84,267.86,99.7,0.99,SG47
21,8.84,268.03,96.85,0.99,SG47
22,8.84,225.09,99.55,0.99,SG47
23,8.84,265.23,97.9,0.99,SG47
24,8.78,286.4,99.7,1.59,SG47
25,8.78,280.77,98.95,1.59,SG47
26,8.78,309.48,98.5,1.59,SG47
27,8.78,255.57,99.4,1.59,SG47
28,8.94,0,99.7,1.5,SG47
29,8.94,433.22,99.85,1.5,SG47
30,8.94,0,99.55,1.5,SG47
31,8.94,193.98,99.55,1.5,SG47
32,9.23,194.65,96.7,1.32,SG47
33,9.23,190.82,99.85,1.32,SG47
34,9.23,196.13,96.25,1.32,SG47
35,9.23,209.29,99.85,1.32,SG47
36,8.93,191.4,98.5,1.42,SG47
37,8.93,219.57,99.4,1.42,SG47
38,8.93,154.09,98.8,1.42,SG47
39,8.93,211.18,97.6,1.42,SG47
40,8.97,283.1,99.55,1.49,SG47
41,8.97,295.57,99.55,1.49,SG47
42,8.97,266.39,97.6,1.49,SG47
43,8.97,293.75,99.7,1.49,SG47
44,8.5,0,100,1.95,SG47
45,8.5,331.85,99.4,1.95,SG47
46,8.5,0,98.95,1.95,SG47
