sector,ib,channel,bias,gs
1,0,0,68.98,-20
1,0,1,68.98,-20
1,0,2,68.98,-20
1,0,3,68.98,-20
1,0,4,68.98,-20
1,0,5,68.98,-20
1,0,6,68.98,-20
1,0,7,68.98,-20
1,0,8,68.98,-20
1,0,9,68.98,-20
1,0,10,68.98,-20
1,0,11,68.98,-20
1,0,12,68.98,-20
1,0,13,68.98,-20
1,0,14,68.98,-20
1,0,15,68.98,-20
1,0,16,68.98,-20
1,0,17,68.98,-20
1,0,18,68.98,-20
1,0,19,68.98,-20
1,0,20,68.98,-20
1,0,21,68.98,-20
1,0,22,68.98,-20
1,0,23,68.98,-20
1,0,24,68.98,-20
1,0,25,68.98,-20
1,0,26,68.98,-20
1,0,27,68.98,-20
1,0,28,68.98,-20
1,0,29,68.98,-20
1,0,30,68.98,-20
1,0,31,68.98,-20
1,0,32,68.98,-20
1,0,33,68.98,-20
1,0,34,68.98,-20
1,0,35,68.98,-20
1,0,36,68.98,-20
1,0,37,68.98,-20
1,0,38,68.98,-20
1,0,39,68.98,-20
1,0,40,68.98,-20
1,0,41,68.98,-20
1,0,42,68.98,-20
1,0,43,68.98,-20
1,0,44,68.98,-20
1,0,45,68.98,-20
1,0,46,68.98,-20
1,0,47,68.98,-20
1,0,48,68.98,-20
1,0,49,68.98,-20
1,0,50,68.98,-20
1,0,51,68.98,-20
1,0,52,68.98,-20
1,0,53,68.98,-20
1,0,54,68.98,-20
1,0,55,68.98,-20
1,0,56,68.98,-20
1,0,57,68.98,-20
1,0,58,68.98,-20
1,0,59,68.98,-20
1,0,60,68.98,-20
1,0,61,68.98,-20
1,0,62,68.98,-20
1,0,63,68.98,-20
1,1,0,68.98,-20
1,1,1,68.98,-20
1,1,2,68.98,-20
1,1,3,68.98,-20
1,1,4,68.98,-20
1,1,5,68.98,-20
1,1,6,68.98,-20
1,1,7,68.98,-20
1,1,8,68.98,-20
1,1,9,68.98,-20
1,1,10,68.98,-20
1,1,11,68.98,-20
1,1,12,68.98,-20
1,1,13,68.98,-20
1,1,14,68.98,-20
1,1,15,68.98,-20
1,1,16,68.98,-20
1,1,17,68.98,-20
1,1,18,68.98,-20
1,1,19,68.98,-20
1,1,20,68.98,-20
1,1,21,68.98,-20
1,1,22,68.98,-20
1,1,23,68.98,-20
1,1,24,68.98,-20
1,1,25,68.98,-20
1,1,26,68.98,-20
1,1,27,68.98,-20
1,1,28,68.98,-20
1,1,29,68.98,-20
1,1,30,68.98,-20
1,1,31,68.98,-20
1,1,32,68.98,-20
1,1,33,68.98,-20
1,1,34,68.98,-20
1,1,35,68.98,-20
1,1,36,68.98,-20
1,1,37,68.98,-20
1,1,38,68.98,-20
1,1,39,68.98,-20
1,1,40,68.98,-20
1,1,41,68.98,-20
1,1,42,68.98,-20
1,1,43,68.98,-20
1,1,44,68.98,-20
1,1,45,68.98,-20
1,1,46,68.98,-20
1,1,47,68.98,-20
1,1,48,68.98,-20
1,1,49,68.98,-20
1,1,50,68.98,-20
1,1,51,68.98,-20
1,1,52,68.98,-20
1,1,53,68.98,-20
1,1,54,68.98,-20
1,1,55,68.98,-20
1,1,56,68.98,-20
1,1,57,68.98,-20
1,1,58,68.98,-20
1,1,59,68.98,-20
1,1,60,68.98,-20
1,1,61,68.98,-20
1,1,62,68.98,-20
1,1,63,68.98,-20
1,2,0,68.98,-20
1,2,1,68.98,-20
1,2,2,68.98,-20
1,2,3,68.98,-20
1,2,4,68.98,-20
1,2,5,68.98,-20
1,2,6,68.98,-20
1,2,7,68.98,-20
1,2,8,68.98,-20
1,2,9,68.98,-20
1,2,10,68.98,-20
1,2,11,68.98,-20
1,2,12,68.98,-20
1,2,13,68.98,-20
1,2,14,68.98,-20
1,2,15,68.98,-20
1,2,16,68.98,-20
1,2,17,68.98,-20
1,2,18,68.98,-20
1,2,19,68.98,-20
1,2,20,68.98,-20
1,2,21,68.98,-20
1,2,22,68.98,-20
1,2,23,68.98,-20
1,2,24,68.98,-20
1,2,25,68.98,-20
1,2,26,68.98,-20
1,2,27,68.98,-20
1,2,28,68.98,-20
1,2,29,68.98,-20
1,2,30,68.98,-20
1,2,31,68.98,-20
1,2,32,68.98,-20
1,2,33,68.98,-20
1,2,34,68.98,-20
1,2,35,68.98,-20
1,2,36,68.98,-20
1,2,37,68.98,-20
1,2,38,68.98,-20
1,2,39,68.98,-20
1,2,40,68.98,-20
1,2,41,68.98,-20
1,2,42,68.98,-20
1,2,43,68.98,-20
1,2,44,68.98,-20
1,2,45,68.98,-20
1,2,46,68.98,-20
1,2,47,68.98,-20
1,2,48,68.98,-20
1,2,49,68.98,-20
1,2,50,68.98,-20
1,2,51,68.98,-20
1,2,52,68.98,-20
1,2,53,68.98,-20
1,2,54,68.98,-20
1,2,55,68.98,-20
1,2,56,68.98,-20
1,2,57,68.98,-20
1,2,58,68.98,-20
1,2,59,68.98,-20
1,2,60,68.98,-20
1,2,61,68.98,-20
1,2,62,68.98,-20
1,2,63,68.98,-20
1,3,0,68.98,-20
1,3,1,68.98,-20
1,3,2,68.98,-20
1,3,3,68.98,-20
1,3,4,68.98,-20
1,3,5,68.98,-20
1,3,6,68.98,-20
1,3,7,68.98,-20
1,3,8,68.98,-20
1,3,9,68.98,-20
1,3,10,68.98,-20
1,3,11,68.98,-20
1,3,12,68.98,-20
1,3,13,68.98,-20
1,3,14,68.98,-20
1,3,15,68.98,-20
1,3,16,68.98,-20
1,3,17,68.98,-20
1,3,18,68.98,-20
1,3,19,68.98,-20
1,3,20,68.98,-20
1,3,21,68.98,-20
1,3,22,68.98,-20
1,3,23,68.98,-20
1,3,24,68.98,-20
1,3,25,68.98,-20
1,3,26,68.98,-20
1,3,27,68.98,-20
1,3,28,68.98,-20
1,3,29,68.98,-20
1,3,30,68.98,-20
1,3,31,68.98,-20
1,3,32,68.98,-20
1,3,33,68.98,-20
1,3,34,68.98,-20
1,3,35,68.98,-20
1,3,36,68.98,-20
1,3,37,68.98,-20
1,3,38,68.98,-20
1,3,39,68.98,-20
1,3,40,68.98,-20
1,3,41,68.98,-20
1,3,42,68.98,-20
1,3,43,68.98,-20
1,3,44,68.98,-20
1,3,45,68.98,-20
1,3,46,68.98,-20
1,3,47,68.98,-20
1,3,48,68.98,-20
1,3,49,68.98,-20
1,3,50,68.98,-20
1,3,51,68.98,-20
1,3,52,68.98,-20
1,3,53,68.98,-20
1,3,54,68.98,-20
1,3,55,68.98,-20
1,3,56,68.98,-20
1,3,57,68.98,-20
1,3,58,68.98,-20
1,3,59,68.98,-20
1,3,60,68.98,-20
1,3,61,68.98,-20
1,3,62,68.98,-20
1,3,63,68.98,-20
1,4,0,68.98,-20
1,4,1,68.98,-20
1,4,2,68.98,-20
1,4,3,68.98,-20
1,4,4,68.98,-20
1,4,5,68.98,-20
1,4,6,68.98,-20
1,4,7,68.98,-20
1,4,8,68.98,-20
1,4,9,68.98,-20
1,4,10,68.98,-20
1,4,11,68.98,-20
1,4,12,68.98,-20
1,4,13,68.98,-20
1,4,14,68.98,-20
1,4,15,68.98,-20
1,4,16,68.98,-20
1,4,17,68.98,-20
1,4,18,68.98,-20
1,4,19,68.98,-20
1,4,20,68.98,-20
1,4,21,68.98,-20
1,4,22,68.98,-20
1,4,23,68.98,-20
1,4,24,68.98,-20
1,4,25,68.98,-20
1,4,26,68.98,-20
1,4,27,68.98,-20
1,4,28,68.98,-20
1,4,29,68.98,-20
1,4,30,68.98,-20
1,4,31,68.98,-20
1,4,32,68.98,-20
1,4,33,68.98,-20
1,4,34,68.98,-20
1,4,35,68.98,-20
1,4,36,68.98,-20
1,4,37,68.98,-20
1,4,38,68.98,-20
1,4,39,68.98,-20
1,4,40,68.98,-20
1,4,41,68.98,-20
1,4,42,68.98,-20
1,4,43,68.98,-20
1,4,44,68.98,-20
1,4,45,68.98,-20
1,4,46,68.98,-20
1,4,47,68.98,-20
1,4,48,68.98,-20
1,4,49,68.98,-20
1,4,50,68.98,-20
1,4,51,68.98,-20
1,4,52,68.98,-20
1,4,53,68.98,-20
1,4,54,68.98,-20
1,4,55,68.98,-20
1,4,56,68.98,-20
1,4,57,68.98,-20
1,4,58,68.98,-20
1,4,59,68.98,-20
1,4,60,68.98,-20
1,4,61,68.98,-20
1,4,62,68.98,-20
1,4,63,68.98,-20
1,5,0,68.98,-20
1,5,1,68.98,-20
1,5,2,68.98,-20
1,5,3,68.98,-20
1,5,4,68.98,-20
1,5,5,68.98,-20
1,5,6,68.98,-20
1,5,7,68.98,-20
1,5,8,68.98,-20
1,5,9,68.98,-20
1,5,10,68.98,-20
1,5,11,68.98,-20
1,5,12,68.98,-20
1,5,13,68.98,-20
1,5,14,68.98,-20
1,5,15,68.98,-20
1,5,16,68.98,-20
1,5,17,68.98,-20
1,5,18,68.98,-20
1,5,19,68.98,-20
1,5,20,68.98,-20
1,5,21,68.98,-20
1,5,22,68.98,-20
1,5,23,68.98,-20
1,5,24,68.98,-20
1,5,25,68.98,-20
1,5,26,68.98,-20
1,5,27,68.98,-20
1,5,28,68.98,-20
1,5,29,68.98,-20
1,5,30,68.98,-20
1,5,31,68.98,-20
1,5,32,68.98,-20
1,5,33,68.98,-20
1,5,34,68.98,-20
1,5,35,68.98,-20
1,5,36,68.98,-20
1,5,37,68.98,-20
1,5,38,68.98,-20
1,5,39,68.98,-20
1,5,40,68.98,-20
1,5,41,68.98,-20
1,5,42,68.98,-20
1,5,43,68.98,-20
1,5,44,68.98,-20
1,5,45,68.98,-20
1,5,46,68.98,-20
1,5,47,68.98,-20
1,5,48,68.98,-20
1,5,49,68.98,-20
1,5,50,68.98,-20
1,5,51,68.98,-20
1,5,52,68.98,-20
1,5,53,68.98,-20
1,5,54,68.98,-20
1,5,55,68.98,-20
1,5,56,68.98,-20
1,5,57,68.98,-20
1,5,58,68.98,-20
1,5,59,68.98,-20
1,5,60,68.98,-20
1,5,61,68.98,-20
1,5,62,68.98,-20
1,5,63,68.98,-20
2,0,0,69.33,330
2,0,1,69.33,330
2,0,2,69.33,330
2,0,3,69.33,330
2,0,4,69.33,330
2,0,5,69.33,330
2,0,6,69.33,330
2,0,7,69.33,330
2,0,8,69.33,330
2,0,9,69.33,330
2,0,10,69.33,330
2,0,11,69.33,330
2,0,12,69.33,330
2,0,13,69.33,330
2,0,14,69.33,330
2,0,15,69.33,330
2,0,16,69.33,330
2,0,17,69.33,330
2,0,18,69.33,330
2,0,19,69.33,330
2,0,20,69.33,330
2,0,21,69.33,330
2,0,22,69.33,330
2,0,23,69.33,330
2,0,24,69.33,330
2,0,25,69.33,330
2,0,26,69.33,330
2,0,27,69.33,330
2,0,28,69.33,330
2,0,29,69.33,330
2,0,30,69.33,330
2,0,31,69.33,330
2,0,32,69.33,330
2,0,33,69.33,330
2,0,34,69.33,330
2,0,35,69.33,330
2,0,36,69.33,330
2,0,37,69.33,330
2,0,38,69.33,330
2,0,39,69.33,330
2,0,40,69.33,330
2,0,41,69.33,330
2,0,42,69.33,330
2,0,43,69.33,330
2,0,44,69.33,330
2,0,45,69.33,330
2,0,46,69.33,330
2,0,47,69.33,330
2,0,48,69.33,330
2,0,49,69.33,330
2,0,50,69.33,330
2,0,51,69.33,330
2,0,52,69.33,330
2,0,53,69.33,330
2,0,54,69.33,330
2,0,55,69.33,330
2,0,56,69.33,330
2,0,57,69.33,330
2,0,58,69.33,330
2,0,59,69.33,330
2,0,60,69.33,330
2,0,61,69.33,330
2,0,62,69.33,330
2,0,63,69.33,330
2,1,0,69.33,330
2,1,1,69.33,330
2,1,2,69.33,330
2,1,3,69.33,330
2,1,4,69.33,330
2,1,5,69.33,330
2,1,6,69.33,330
2,1,7,69.33,330
2,1,8,69.33,330
2,1,9,69.33,330
2,1,10,69.33,330
2,1,11,69.33,330
2,1,12,69.33,330
2,1,13,69.33,330
2,1,14,69.33,330
2,1,15,69.33,330
2,1,16,69.33,330
2,1,17,69.33,330
2,1,18,69.33,330
2,1,19,69.33,330
2,1,20,69.33,330
2,1,21,69.33,330
2,1,22,69.33,330
2,1,23,69.33,330
2,1,24,69.33,330
2,1,25,69.33,330
2,1,26,69.33,330
2,1,27,69.33,330
2,1,28,69.33,330
2,1,29,69.33,330
2,1,30,69.33,330
2,1,31,69.33,330
2,1,32,69.33,330
2,1,33,69.33,330
2,1,34,69.33,330
2,1,35,69.33,330
2,1,36,69.33,330
2,1,37,69.33,330
2,1,38,69.33,330
2,1,39,69.33,330
2,1,40,69.33,330
2,1,41,69.33,330
2,1,42,69.33,330
2,1,43,69.33,330
2,1,44,69.33,330
2,1,45,69.33,330
2,1,46,69.33,330
2,1,47,69.33,330
2,1,48,69.33,330
2,1,49,69.33,330
2,1,50,69.33,330
2,1,51,69.33,330
2,1,52,69.33,330
2,1,53,69.33,330
2,1,54,69.33,330
2,1,55,69.33,330
2,1,56,69.33,330
2,1,57,69.33,330
2,1,58,69.33,330
2,1,59,69.33,330
2,1,60,69.33,330
2,1,61,69.33,330
2,1,62,69.33,330
2,1,63,69.33,330
2,2,0,69.33,330
2,2,1,69.33,330
2,2,2,69.33,330
2,2,3,69.33,330
2,2,4,69.33,330
2,2,5,69.33,330
2,2,6,69.33,330
2,2,7,69.33,330
2,2,8,69.33,330
2,2,9,69.33,330
2,2,10,69.33,330
2,2,11,69.33,330
2,2,12,69.33,330
2,2,13,69.33,330
2,2,14,69.33,330
2,2,15,69.33,330
2,2,16,69.33,330
2,2,17,69.33,330
2,2,18,69.33,330
2,2,19,69.33,330
2,2,20,69.33,330
2,2,21,69.33,330
2,2,22,69.33,330
2,2,23,69.33,330
2,2,24,69.33,330
2,2,25,69.33,330
2,2,26,69.33,330
2,2,27,69.33,330
2,2,28,69.33,330
2,2,29,69.33,330
2,2,30,69.33,330
2,2,31,69.33,330
2,2,32,69.33,330
2,2,33,69.33,330
2,2,34,69.33,330
2,2,35,69.33,330
2,2,36,69.33,330
2,2,37,69.33,330
2,2,38,69.33,330
2,2,39,69.33,330
2,2,40,69.33,330
2,2,41,69.33,330
2,2,42,69.33,330
2,2,43,69.33,330
2,2,44,69.33,330
2,2,45,69.33,330
2,2,46,69.33,330
