tpwidth,meanadc
30,-1472
30,-1473
30,-1474
30,-1285
30,-1475
30,-1194
30,-1286
30,-1474
31,-1474
31,-1079
31,-1474
31,-1474
31,-1089
31,-1474
31,-1473
31,-914
32,-704
32,-420
32,-1473
32,-1359
32,-1474
32,-1474
32,-746
32,-1472
33,-205
33,-1473
33,-1474
33,-1474
33,-1472
33,359
33,-94
33,-1473
34,-1472
34,-1248
34,-1472
34,883
34,662
34,-1471
34,-1180
34,1568
35,2236
35,-1323
35,-1472
35,-1470
35,3187
35,1818
35,-752
35,-1469
36,-911
36,4147
36,-1469
36,775
36,3444
36,-1472
36,-1466
36,5410
37,5443
37,6526
37,-1466
37,-205
37,-130
37,8075
37,-1452
37,-1472
38,-1390
38,-1426
38,-1472
38,8000
38,-1463
38,9510
38,-15
38,10959
39,1241
39,12274
39,-1472
39,-1386
39,10572
39,11765
39,-683
39,-1458
40,1718
40,-1284
40,-1472
40,-1457
40,-1475
40,-1453
40,2439
40,-1248
40,6453
40,2268
40,-1284
40,-473
40,-753
40,-1402
40,-1381
40,2820
40,-1215
40,12330
40,2819
40,-1217
40,12560
40,12638
41,-1246
41,12671
41,-403
41,8858
41,12187
41,12696
41,-1447
42,10176
42,-1217
42,12723
42,8619
42,-1011
42,12756
42,-1418
43,-650
43,12827
43,-1198
43,12787
43,10497
43,6461
43,-1428
44,-602
44,6077
44,-1420
44,12866
44,12917
44,11471
44,-1214
45,-1298
45,13021
45,863
45,-1369
45,9905
45,12958
45,11994
46,1219
46,-1035
46,10753
46,11787
46,13076
46,-84
46,13155
47,-1389
47,11825
47,2128
47,13212
47,358
47,11948
47,13270
48,13385
48,130
48,12093
48,-1377
48,13333
48,1281
48,12072
49,13425
49,-1367
49,-686
49,11898
49,11939
49,4506
49,13405
50,13424
50,3606
50,-1166
50,11828
50,-1191
50,3200
50,-1422
50,12314
50,3598
50,-1169
50,1328
50,-238
50,13423
50,279
50,-1475
50,-1459
50,-1244
50,2349
50,-1355
50,-1215
50,2723
51,8
51,12420
51,13424
51,12014
51,13423
51,-1342
51,-1205
52,13423
52,12159
52,-1329
52,13424
52,-944
52,12201
52,-1301
53,13424
53,12217
53,-1312
53,12190
53,-1170
53,-1322
53,13423
54,13424
54,-1298
54,12135
54,12255
54,13424
54,-920
54,-1306
55,13423
55,-1292
55,-745
55,-1141
55,12433
55,13424
55,12283
56,-1277
56,12366
56,12101
56,-1095
56,13424
56,-1250
56,13424
57,13423
57,13424
57,12153
57,-1257
57,12230
57,-1264
57,-1195
58,12090
58,13424
58,13423
58,484
58,12041
58,-1221
58,-1251
59,-1237
59,-1000
59,13424
59,12274
59,12096
59,13423
59,10673
60,571
60,13424
60,13424
60,12245
60,12153
60,-1220
60,-1222
