sector_serial,sector,ib,ib_channel,iphi,ieta,bias,offset
1,41,0,0,72,47,68.98,-20
1,41,0,1,72,46,68.98,-20
1,41,0,2,73,47,68.98,-20
1,41,0,3,73,46,68.98,-20
1,41,0,4,74,47,68.98,-20
1,41,0,5,74,46,68.98,-20
1,41,0,6,75,47,68.98,-20
1,41,0,7,75,46,68.98,-20
1,41,0,8,76,47,68.98,-20
1,41,0,9,76,46,68.98,-20
1,41,0,10,77,47,68.98,-20
1,41,0,11,77,46,68.98,-20
1,41,0,12,78,47,68.98,-20
1,41,0,13,78,46,68.98,-20
1,41,0,14,79,47,68.98,-20
1,41,0,15,79,46,68.98,-20
1,41,0,16,72,45,68.98,-20
1,41,0,17,72,44,68.98,-20
1,41,0,18,73,45,68.98,-20
1,41,0,19,73,44,68.98,-20
1,41,0,20,74,45,68.98,-20
1,41,0,21,74,44,68.98,-20
1,41,0,22,75,45,68.98,-20
1,41,0,23,75,44,68.98,-20
1,41,0,24,76,45,68.98,-20
1,41,0,25,76,44,68.98,-20
1,41,0,26,77,45,68.98,-20
1,41,0,27,77,44,68.98,-20
1,41,0,28,78,45,68.98,-20
1,41,0,29,78,44,68.98,-20
1,41,0,30,79,45,68.98,-20
1,41,0,31,79,44,68.98,-20
1,41,0,32,72,43,68.98,-20
1,41,0,33,72,42,68.98,-20
1,41,0,34,73,43,68.98,-20
1,41,0,35,73,42,68.98,-20
1,41,0,36,74,43,68.98,-20
1,41,0,37,74,42,68.98,-20
1,41,0,38,75,43,68.98,-20
1,41,0,39,75,42,68.98,-20
1,41,0,40,76,43,68.98,-20
1,41,0,41,76,42,68.98,-20
1,41,0,42,77,43,68.98,-20
1,41,0,43,77,42,68.98,-20
1,41,0,44,78,43,68.98,-20
1,41,0,45,78,42,68.98,-20
1,41,0,46,79,43,68.98,-20
1,41,0,47,79,42,68.98,-20
1,41,0,48,72,41,68.98,-20
1,41,0,49,72,40,68.98,-20
1,41,0,50,73,41,68.98,-20
1,41,0,51,73,40,68.98,-20
1,41,0,52,74,41,68.98,-20
1,41,0,53,74,40,68.98,-20
1,41,0,54,75,41,68.98,-20
1,41,0,55,75,40,68.98,-20
1,41,0,56,76,41,68.98,-20
1,41,0,57,76,40,68.98,-20
1,41,0,58,77,41,68.98,-20
1,41,0,59,77,40,68.98,-20
1,41,0,60,78,41,68.98,-20
1,41,0,61,78,40,68.98,-20
1,41,0,62,79,41,68.98,-20
1,41,0,63,79,40,68.98,-20
1,41,1,0,72,39,68.98,-20
1,41,1,1,72,38,68.98,-20
1,41,1,2,73,39,68.98,-20
1,41,1,3,73,38,68.98,-20
1,41,1,4,74,39,68.98,-20
1,41,1,5,74,38,68.98,-20
1,41,1,6,75,39,68.98,-20
1,41,1,7,75,38,68.98,-20
1,41,1,8,76,39,68.98,-20
1,41,1,9,76,38,68.98,-20
1,41,1,10,77,39,68.98,-20
1,41,1,11,77,38,68.98,-20
1,41,1,12,78,39,68.98,-20
1,41,1,13,78,38,68.98,-20
1,41,1,14,79,39,68.98,-20
1,41,1,15,79,38,68.98,-20
1,41,1,16,72,37,68.98,-20
1,41,1,17,72,36,68.98,-20
1,41,1,18,73,37,68.98,-20
1,41,1,19,73,36,68.98,-20
1,41,1,20,74,37,68.98,-20
1,41,1,21,74,36,68.98,-20
1,41,1,22,75,37,68.98,-20
1,41,1,23,75,36,68.98,-20
1,41,1,24,76,37,68.98,-20
1,41,1,25,76,36,68.98,-20
1,41,1,26,77,37,68.98,-20
1,41,1,27,77,36,68.98,-20
1,41,1,28,78,37,68.98,-20
1,41,1,29,78,36,68.98,-20
1,41,1,30,79,37,68.98,-20
1,41,1,31,79,36,68.98,-20
1,41,1,32,72,35,68.98,-20
1,41,1,33,72,34,68.98,-20
1,41,1,34,73,35,68.98,-20
1,41,1,35,73,34,68.98,-20
1,41,1,36,74,35,68.98,-20
1,41,1,37,74,34,68.98,-20
1,41,1,38,75,35,68.98,-20
1,41,1,39,75,34,68.98,-20
1,41,1,40,76,35,68.98,-20
1,41,1,41,76,34,68.98,-20
1,41,1,42,77,35,68.98,-20
1,41,1,43,77,34,68.98,-20
1,41,1,44,78,35,68.98,-20
1,41,1,45,78,34,68.98,-20
1,41,1,46,79,35,68.98,-20
1,41,1,47,79,34,68.98,-20
1,41,1,48,72,33,68.98,-20
1,41,1,49,72,32,68.98,-20
1,41,1,50,73,33,68.98,-20
1,41,1,51,73,32,68.98,-20
1,41,1,52,74,33,68.98,-20
1,41,1,53,74,32,68.98,-20
1,41,1,54,75,33,68.98,-20
1,41,1,55,75,32,68.98,-20
1,41,1,56,76,33,68.98,-20
1,41,1,57,76,32,68.98,-20
1,41,1,58,77,33,68.98,-20
1,41,1,59,77,32,68.98,-20
1,41,1,60,78,33,68.98,-20
1,41,1,61,78,32,68.98,-20
1,41,1,62,79,33,68.98,-20
1,41,1,63,79,32,68.98,-20
1,41,2,0,72,31,68.98,-20
1,41,2,1,72,30,68.98,-20
1,41,2,2,73,31,68.98,-20
1,41,2,3,73,30,68.98,-20
1,41,2,4,74,31,68.98,-20
1,41,2,5,74,30,68.98,-20
1,41,2,6,75,31,68.98,-20
1,41,2,7,75,30,68.98,-20
1,41,2,8,76,31,68.98,-20
1,41,2,9,76,30,68.98,-20
1,41,2,10,77,31,68.98,-20
1,41,2,11,77,30,68.98,-20
1,41,2,12,78,31,68.98,-20
1,41,2,13,78,30,68.98,-20
1,41,2,14,79,31,68.98,-20
1,41,2,15,79,30,68.98,-20
1,41,2,16,72,29,68.98,-20
1,41,2,17,72,28,68.98,-20
1,41,2,18,73,29,68.98,-20
1,41,2,19,73,28,68.98,-20
1,41,2,20,74,29,68.98,-20
1,41,2,21,74,28,68.98,-20
1,41,2,22,75,29,68.98,-20
1,41,2,23,75,28,68.98,-20
1,41,2,24,76,29,68.98,-20
1,41,2,25,76,28,68.98,-20
1,41,2,26,77,29,68.98,-20
1,41,2,27,77,28,68.98,-20
1,41,2,28,78,29,68.98,-20
1,41,2,29,78,28,68.98,-20
1,41,2,30,79,29,68.98,-20
1,41,2,31,79,28,68.98,-20
1,41,2,32,72,27,68.98,-20
1,41,2,33,72,26,68.98,-20
1,41,2,34,73,27,68.98,-20
1,41,2,35,73,26,68.98,-20
1,41,2,36,74,27,68.98,-20
1,41,2,37,74,26,68.98,-20
1,41,2,38,75,27,68.98,-20
1,41,2,39,75,26,68.98,-20
1,41,2,40,76,27,68.98,-20
1,41,2,41,76,26,68.98,-20
1,41,2,42,77,27,68.98,-20
1,41,2,43,77,26,68.98,-20
1,41,2,44,78,27,68.98,-20
1,41,2,45,78,26,68.98,-20
1,41,2,46,79,27,68.98,-20
1,41,2,47,79,26,68.98,-20
1,41,2,48,72,25,68.98,-20
1,41,2,49,72,24,68.98,-20
1,41,2,50,73,25,68.98,-20
1,41,2,51,73,24,68.98,-20
1,41,2,52,74,25,68.98,-20
1,41,2,53,74,24,68.98,-20
1,41,2,54,75,25,68.98,-20
1,41,2,55,75,24,68.98,-20
1,41,2,56,76,25,68.98,-20
1,41,2,57,76,24,68.98,-20
1,41,2,58,77,25,68.98,-20
1,41,2,59,77,24,68.98,-20
1,41,2,60,78,25,68.98,-20
1,41,2,61,78,24,68.98,-20
1,41,2,62,79,25,68.98,-20
1,41,2,63,79,24,68.98,-20
1,41,3,0,72,23,68.98,-20
1,41,3,1,72,22,68.98,-20
1,41,3,2,73,23,68.98,-20
1,41,3,3,73,22,68.98,-20
1,41,3,4,74,23,68.98,-20
1,41,3,5,74,22,68.98,-20
1,41,3,6,75,23,68.98,-20
1,41,3,7,75,22,68.98,-20
1,41,3,8,76,23,68.98,-20
1,41,3,9,76,22,68.98,-20
1,41,3,10,77,23,68.98,-20
1,41,3,11,77,22,68.98,-20
1,41,3,12,78,23,68.98,-20
1,41,3,13,78,22,68.98,-20
1,41,3,14,79,23,68.98,-20
1,41,3,15,79,22,68.98,-20
1,41,3,16,72,21,68.98,-20
1,41,3,17,72,20,68.98,-20
1,41,3,18,73,21,68.98,-20
1,41,3,19,73,20,68.98,-20
1,41,3,20,74,21,68.98,-20
1,41,3,21,74,20,68.98,-20
1,41,3,22,75,21,68.98,-20
1,41,3,23,75,20,68.98,-20
1,41,3,24,76,21,68.98,-20
1,41,3,25,76,20,68.98,-20
1,41,3,26,77,21,68.98,-20
1,41,3,27,77,20,68.98,-20
1,41,3,28,78,21,68.98,-20
1,41,3,29,78,20,68.98,-20
1,41,3,30,79,21,68.98,-20
1,41,3,31,79,20,68.98,-20
1,41,3,32,72,19,68.98,-20
1,41,3,33,72,18,68.98,-20
1,41,3,34,73,19,68.98,-20
1,41,3,35,73,18,68.98,-20
1,41,3,36,74,19,68.98,-20
1,41,3,37,74,18,68.98,-20
1,41,3,38,75,19,68.98,-20
1,41,3,39,75,18,68.98,-20
1,41,3,40,76,19,68.98,-20
1,41,3,41,76,18,68.98,-20
1,41,3,42,77,19,68.98,-20
1,41,3,43,77,18,68.98,-20
1,41,3,44,78,19,68.98,-20
1,41,3,45,78,18,68.98,-20
1,41,3,46,79,19,68.98,-20
1,41,3,47,79,18,68.98,-20
1,41,3,48,72,17,68.98,-20
1,41,3,49,72,16,68.98,-20
1,41,3,50,73,17,68.98,-20
1,41,3,51,73,16,68.98,-20
1,41,3,52,74,17,68.98,-20
1,41,3,53,74,16,68.98,-20
1,41,3,54,75,17,68.98,-20
1,41,3,55,75,16,68.98,-20
1,41,3,56,76,17,68.98,-20
1,41,3,57,76,16,68.98,-20
1,41,3,58,77,17,68.98,-20
1,41,3,59,77,16,68.98,-20
1,41,3,60,78,17,68.98,-20
1,41,3,61,78,16,68.98,-20
1,41,3,62,79,17,68.98,-20
1,41,3,63,79,16,68.98,-20
1,41,4,0,72,15,68.98,-20
1,41,4,1,72,14,68.98,-20
1,41,4,2,73,15,68.98,-20
1,41,4,3,73,14,68.98,-20
1,41,4,4,74,15,68.98,-20
1,41,4,5,74,14,68.98,-20
1,41,4,6,75,15,68.98,-20
1,41,4,7,75,14,68.98,-20
1,41,4,8,76,15,68.98,-20
1,41,4,9,76,14,68.98,-20
1,41,4,10,77,15,68.98,-20
1,41,4,11,77,14,68.98,-20
1,41,4,12,78,15,68.98,-20
1,41,4,13,78,14,68.98,-20
1,41,4,14,79,15,68.98,-20
1,41,4,15,79,14,68.98,-20
1,41,4,16,72,13,68.98,-20
1,41,4,17,72,12,68.98,-20
1,41,4,18,73,13,68.98,-20
1,41,4,19,73,12,68.98,-20
1,41,4,20,74,13,68.98,-20
1,41,4,21,74,12,68.98,-20
1,41,4,22,75,13,68.98,-20
1,41,4,23,75,12,68.98,-20
1,41,4,24,76,13,68.98,-20
1,41,4,25,76,12,68.98,-20
1,41,4,26,77,13,68.98,-20
1,41,4,27,77,12,68.98,-20
1,41,4,28,78,13,68.98,-20
1,41,4,29,78,12,68.98,-20
1,41,4,30,79,13,68.98,-20
1,41,4,31,79,12,68.98,-20
1,41,4,32,72,11,68.98,-20
1,41,4,33,72,10,68.98,-20
1,41,4,34,73,11,68.98,-20
1,41,4,35,73,10,68.98,-20
1,41,4,36,74,11,68.98,-20
1,41,4,37,74,10,68.98,-20
1,41,4,38,75,11,68.98,-20
1,41,4,39,75,10,68.98,-20
1,41,4,40,76,11,68.98,-20
1,41,4,41,76,10,68.98,-20
1,41,4,42,77,11,68.98,-20
1,41,4,43,77,10,68.98,-20
1,41,4,44,78,11,68.98,-20
1,41,4,45,78,10,68.98,-20
1,41,4,46,79,11,68.98,-20
1,41,4,47,79,10,68.98,-20
1,41,4,48,72,9,68.98,-20
1,41,4,49,72,8,68.98,-20
1,41,4,50,73,9,68.98,-20
1,41,4,51,73,8,68.98,-20
1,41,4,52,74,9,68.98,-20
1,41,4,53,74,8,68.98,-20
1,41,4,54,75,9,68.98,-20
1,41,4,55,75,8,68.98,-20
1,41,4,56,76,9,68.98,-20
1,41,4,57,76,8,68.98,-20
1,41,4,58,77,9,68.98,-20
1,41,4,59,77,8,68.98,-20
1,41,4,60,78,9,68.98,-20
1,41,4,61,78,8,68.98,-20
1,41,4,62,79,9,68.98,-20
1,41,4,63,79,8,68.98,-20
1,41,5,0,72,7,68.98,-20
1,41,5,1,72,6,68.98,-20
1,41,5,2,73,7,68.98,-20
1,41,5,3,73,6,68.98,-20
1,41,5,4,74,7,68.98,-20
1,41,5,5,74,6,68.98,-20
1,41,5,6,75,7,68.98,-20
1,41,5,7,75,6,68.98,-20
1,41,5,8,76,7,68.98,-20
1,41,5,9,76,6,68.98,-20
1,41,5,10,77,7,68.98,-20
1,41,5,11,77,6,68.98,-20
1,41,5,12,78,7,68.98,-20
1,41,5,13,78,6,68.98,-20
1,41,5,14,79,7,68.98,-20
1,41,5,15,79,6,68.98,-20
1,41,5,16,72,5,68.98,-20
1,41,5,17,72,4,68.98,-20
1,41,5,18,73,5,68.98,-20
1,41,5,19,73,4,68.98,-20
1,41,5,20,74,5,68.98,-20
1,41,5,21,74,4,68.98,-20
1,41,5,22,75,5,68.98,-20
1,41,5,23,75,4,68.98,-20
1,41,5,24,76,5,68.98,-20
1,41,5,25,76,4,68.98,-20
1,41,5,26,77,5,68.98,-20
1,41,5,27,77,4,68.98,-20
1,41,5,28,78,5,68.98,-20
1,41,5,29,78,4,68.98,-20
1,41,5,30,79,5,68.98,-20
1,41,5,31,79,4,68.98,-20
1,41,5,32,72,3,68.98,-20
1,41,5,33,72,2,68.98,-20
1,41,5,34,73,3,68.98,-20
1,41,5,35,73,2,68.98,-20
1,41,5,36,74,3,68.98,-20
1,41,5,37,74,2,68.98,-20
1,41,5,38,75,3,68.98,-20
1,41,5,39,75,2,68.98,-20
1,41,5,40,76,3,68.98,-20
1,41,5,41,76,2,68.98,-20
1,41,5,42,77,3,68.98,-20
1,41,5,43,77,2,68.98,-20
1,41,5,44,78,3,68.98,-20
1,41,5,45,78,2,68.98,-20
1,41,5,46,79,3,68.98,-20
1,41,5,47,79,2,68.98,-20
1,41,5,48,72,1,68.98,-20
1,41,5,49,72,0,68.98,-20
1,41,5,50,73,1,68.98,-20
1,41,5,51,73,0,68.98,-20
1,41,5,52,74,1,68.98,-20
1,41,5,53,74,0,68.98,-20
1,41,5,54,75,1,68.98,-20
1,41,5,55,75,0,68.98,-20
1,41,5,56,76,1,68.98,-20
1,41,5,57,76,0,68.98,-20
1,41,5,58,77,1,68.98,-20
1,41,5,59,77,0,68.98,-20
1,41,5,60,78,1,68.98,-20
1,41,5,61,78,0,68.98,-20
1,41,5,62,79,1,68.98,-20
1,41,5,63,79,0,68.98,-20
2,25,0,0,207,48,69.33,330
2,25,0,1,207,49,69.33,330
