Run,Acceptance,Dead,Hot,Cold,BadChi2
46622,98.96,0.95,0.02,0.01,0.03
46623,98.95,0.95,0.04,0.02,0.02
46640,82.19,0.94,0.06,0.02,16.76
46649,90.73,0.93,0.06,0.03,8.22
46654,92.41,6.9,0.08,0.02,0.57
46655,97.55,0.94,0.07,0.02,1.39
46656,98.66,0.94,0.06,0.02,0.29
46657,97.23,0.94,0.06,0.02,1.72
46661,91.06,0.94,0.07,0.02,7.89
46662,98.91,0.94,0.05,0.01,0.06
46663,82.7,0.93,0.06,0.03,16.25
46665,97.15,0.93,0.06,0.03,1.8
46666,68.61,0.94,0.04,0.02,30.35
46667,96.8,0.94,0.04,0.02,2.17
46668,97.26,0.94,0.05,0.02,1.7
46669,92.93,0.94,0.04,0.02,6.05
46670,97.67,0.94,0.04,0.02,1.3
46675,98.95,0.95,0.04,0.02,0.02
46676,94.8,0.94,0.04,0.03,4.17
46679,98.96,0.93,0.03,0.02,0.03
46681,89.55,0.94,0.04,0.02,9.42
46683,64.84,0.94,0.03,0.02,34.15
46697,97.95,0.94,0.03,0.02,1.02
46699,82.66,0.93,0.06,0.03,16.29
46700,98.9,0.94,0.06,0.02,0.05
46704,83.52,0.93,0.06,0.03,15.43
46706,87.11,0.94,0.06,0.02,11.84
46720,96.89,0.96,0.03,0.01,2.09
46721,98.9,0.94,0.05,0.02,0.07
46733,53.49,0.94,0.05,0.02,45.47
46735,77.75,0.93,0.06,0.02,21.21
46750,98.8,0.93,0.07,0.03,0.14
46751,98.33,0.94,0.06,0.02,0.63
46753,97.2,0.93,0.06,0.02,1.77
46754,98.96,0.94,0.04,0.01,0.02
46755,98.53,0.94,0.06,0.03,0.42
46756,96.95,0.94,0.06,0.02,2.01
46757,91.06,7.18,0.05,0.02,1.66
46759,91.25,0.93,0.06,0.04,7.69
46760,90.99,0.94,0.06,0.03,7.95
46767,94.1,0.94,0.06,0.03,4.84
46769,91.97,7.18,0.05,0.03,0.75
46770,76.69,0.94,0.06,0.03,22.26
46771,89.92,7.16,0.06,0.04,2.79
46772,97.59,0.94,0.06,0.02,1.36
