Hot Phi,Hot Eta,Runs Hot,Ref Phi,Ref Eta,Hot Ref Runs,Phi Distance
27,7,794,28,7,3,1
27,84,1065,28,84,0,1
27,85,1060,28,85,0,1
26,85,1029,25,85,0,1
37,92,642,38,92,0,1
59,7,518,60,7,11,1
83,86,1029,84,86,0,1
149,80,1052,150,80,0,1
171,92,411,172,92,0,1
171,93,532,172,93,0,1
170,92,900,172,92,0,2
170,93,1150,172,93,0,2
170,90,506,171,90,2,1
171,89,591,172,89,0,1
170,89,537,172,89,0,2
169,94,1157,171,94,0,2
169,95,1035,170,95,0,1
168,94,1007,167,94,0,1
168,95,860,167,95,0,1
169,92,791,167,92,0,2
169,93,1082,167,93,0,2
168,92,901,167,92,0,1
168,93,994,167,93,0,1
169,90,1079,167,90,0,2
169,91,1055,170,91,4,1
168,90,977,167,90,0,1
168,91,973,167,91,0,1
169,89,913,167,89,0,2
168,89,758,167,89,0,1
187,79,905,188,79,0,1
216,8,699,215,8,0,1
217,8,943,219,8,0,2
216,10,942,215,10,0,1
217,11,925,216,11,0,1
217,10,932,219,10,0,2
218,11,815,219,11,0,1
218,10,754,219,10,0,1
222,9,525,221,9,0,1
223,9,625,224,9,0,1
222,10,676,221,10,0,1
223,11,771,224,11,0,1
223,10,670,224,10,0,1
220,88,1161,221,88,0,1
244,9,964,245,9,0,1
253,48,1064,254,48,0,1
