# Streak Events List
# RunNumber EventNumber
47289 12879
47289 52627
47289 87145
47289 270075
47289 334168
47289 398189
47289 639595
47289 779169
47289 939793
47289 940484
47289 1182088
47289 1485468
47289 1508353
47289 1716108
47289 2014580
47289 2098423
47289 2153331
47289 2282978
47289 2298782
47289 2603642
47289 2926056
47289 3001300
47289 3089227
47289 3486086
47289 3518814
47289 3734026
47289 4543176
47289 4653401
47289 4745784
47289 4787011
47289 4883366
47289 4921894
47289 5082825
47289 5091565
47289 5321671
47289 5346537
47289 5486698
47289 5676402
47289 6012473
47289 6239866
47289 6448745
47289 6505993
47289 6626412
47289 6650267
47791 100829
47791 185129
47791 228852
47791 316630
47791 330767
47791 333812
47791 339076
47791 368352
47791 374461
47791 375361
47791 415333
47791 418980
47791 419491
47791 445288
47791 458138
47791 504356
47791 568671
47791 575475
47791 581655
47791 607110
47791 637696
47791 676195
47791 685132
47791 712094
47791 779202
47791 864852
47791 912717
47791 915225
47791 933425
47791 940013
47791 943482
47791 1026786
47791 1083288
47791 1087476
47791 1170013
47791 1206559
47791 1301472
47791 1323377
47791 1433821
47791 1448886
47791 1472641
47791 1542843
47791 1550972
47791 1596450
47791 1758084
47791 1902254
47791 1937547
47791 1940265
47791 2028671
47791 2104770
47791 2105394
47791 2175241
47791 2197804
47791 2329428
47791 2370907
47791 2415445
47791 2505766
47791 2512589
47791 2562742
47791 2581369
47791 2754327
47791 2795986
47791 2810166
47791 2839129
47791 2853609
47791 2869243
47791 2939722
47791 3064705
47791 3115161
47791 3140263
47791 3269633
47791 3269802
47791 3281832
47791 3289450
47791 3294255
47791 3354717
47791 3384090
47791 3398363
47791 3441544
47791 3547156
47791 3556079
47791 3560547
47791 3573960
47791 3614730
47791 3654540
47791 3792226
47791 3795690
47791 3827991
47791 3895598
47791 3908043
47791 3925680
47791 3957442
47791 4059452
47791 4181556
47791 4183292
47791 4262063
47791 4468059
47791 4506187
47791 4654121
47791 4681954
47791 4695138
47791 4704344
