RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
47289 0.0139070 0.0129434 0.0139070 0.0129434 0.0139070 0.0129434
47293 0.0104327 0.0097394 0.0104327 0.0097394 0.0104327 0.0097394
47306 0.0108208 0.0101459 0.0108208 0.0101459 0.0108208 0.0101459
47310 0.0292795 0.0275409 0.0292795 0.0275409 0.0292795 0.0275409
47313 0.0163755 0.0154715 0.0163755 0.0154715 0.0163755 0.0154715
47314 0.0149609 0.0141898 0.0149609 0.0141898 0.0149609 0.0141898
47315 0.0081115 0.0077090 0.0081115 0.0077090 0.0081115 0.0077090
47316 0.0126822 0.0120648 0.0126822 0.0120648 0.0126822 0.0120648
47333 0.0083706 0.0079115 0.0083706 0.0079115 0.0083706 0.0079115
47334 0.0195769 0.0185372 0.0195769 0.0185372 0.0195769 0.0185372
47352 0.0332433 0.0316605 0.0332433 0.0316605 0.0332433 0.0316605
47357 0.0053763 0.0051287 0.0053763 0.0051287 0.0053763 0.0051287
47360 0.0285904 0.0273238 0.0285904 0.0273238 0.0285904 0.0273238
47363 0.0015634 0.0014965 0.0015634 0.0014965 0.0015634 0.0014965
47376 0.0298437 0.0281458 0.0298437 0.0281458 0.0298437 0.0281458
47377 0.0103227 0.0097619 0.0103227 0.0097619 0.0103227 0.0097619
47378 0.0478638 0.0454371 0.0478638 0.0454371 0.0478638 0.0454371
47379 0.0112567 0.0107096 0.0112567 0.0107096 0.0112567 0.0107096
47380 0.0017731 0.0016880 0.0017731 0.0016880 0.0017731 0.0016880
47381 0.0121722 0.0115967 0.0121722 0.0115967 0.0121722 0.0115967
47382 0.0072272 0.0068986 0.0072272 0.0068986 0.0072272 0.0068986
47391 0.0257483 0.0242166 0.0257483 0.0242166 0.0257483 0.0242166
47393 0.0066759 0.0062973 0.0066759 0.0062973 0.0066759 0.0062973
47394 0.0062328 0.0058856 0.0062328 0.0058856 0.0062328 0.0058856
47395 0.0219122 0.0207296 0.0219122 0.0207296 0.0219122 0.0207296
47396 0.0289446 0.0274588 0.0289446 0.0274588 0.0289446 0.0274588
47440 0.0243065 0.0228365 0.0243065 0.0228365 0.0243065 0.0228365
47454 0.0367425 0.0346313 0.0367425 0.0346313 0.0367425 0.0346313
47457 0.0236711 0.0224520 0.0236711 0.0224520 0.0236711 0.0224520
47458 0.0465039 0.0442426 0.0465039 0.0442426 0.0465039 0.0442426
47459 0.0043933 0.0041879 0.0043933 0.0041879 0.0043933 0.0041879
47461 0.0288654 0.0275661 0.0288654 0.0275661 0.0288654 0.0275661
47463 0.0154426 0.0147892 0.0154426 0.0147892 0.0154426 0.0147892
47464 0.0129872 0.0124631 0.0129872 0.0124631 0.0129872 0.0124631
47474 0.0215385 0.0201059 0.0215385 0.0201059 0.0215385 0.0201059
47478 0.0079033 0.0074523 0.0079033 0.0074523 0.0079033 0.0074523
47480 0.0178652 0.0170274 0.0178652 0.0170274 0.0178652 0.0170274
47481 0.0038069 0.0036367 0.0038069 0.0036367 0.0038069 0.0036367
47482 0.0024223 0.0023159 0.0024223 0.0023159 0.0024223 0.0023159
47484 0.0057075 0.0054670 0.0057075 0.0054670 0.0057075 0.0054670
47485 0.0057204 0.0054944 0.0057204 0.0054944 0.0057204 0.0054944
47489 0.0030064 0.0028928 0.0030064 0.0028928 0.0030064 0.0028928
47491 0.0300685 0.0290683 0.0300685 0.0290683 0.0300685 0.0290683
47492 0.0080378 0.0077805 0.0080378 0.0077805 0.0080378 0.0077805
47494 0.0027626 0.0026757 0.0027626 0.0026757 0.0027626 0.0026757
47495 0.0193518 0.0187619 0.0193518 0.0187619 0.0193518 0.0187619
47497 0.0025135 0.0024393 0.0025135 0.0024393 0.0025135 0.0024393
47501 0.0126558 0.0117271 0.0126558 0.0117271 0.0126558 0.0117271
47502 0.0542607 0.0509434 0.0542607 0.0509434 0.0542607 0.0509434
47503 0.0394900 0.0372494 0.0394900 0.0372494 0.0394900 0.0372494
47506 0.0456516 0.0433325 0.0456516 0.0433325 0.0456516 0.0433325
47507 0.0193906 0.0184477 0.0193906 0.0184477 0.0193906 0.0184477
47509 0.0157464 0.0150045 0.0157464 0.0150045 0.0157464 0.0150045
47513 0.0248089 0.0225301 0.0248089 0.0225301 0.0248089 0.0225301
47514 0.0246980 0.0229080 0.0246980 0.0229080 0.0246980 0.0229080
47516 0.0593829 0.0556107 0.0593829 0.0556107 0.0593829 0.0556107
47517 0.0221952 0.0209056 0.0221952 0.0209056 0.0221952 0.0209056
47519 0.0174438 0.0165072 0.0174438 0.0165072 0.0174438 0.0165072
47521 0.0122893 0.0116762 0.0122893 0.0116762 0.0122893 0.0116762
47522 0.0134429 0.0128163 0.0134429 0.0128163 0.0134429 0.0128163
47524 0.0273880 0.0261565 0.0273880 0.0261565 0.0273880 0.0261565
47525 0.0081713 0.0078147 0.0081713 0.0078147 0.0081713 0.0078147
47540 0.0514552 0.0482965 0.0514552 0.0482965 0.0514552 0.0482965
47547 0.0038594 0.0036574 0.0038594 0.0036574 0.0038594 0.0036574
47549 0.0214153 0.0203309 0.0214153 0.0203309 0.0214153 0.0203309
47552 0.0445753 0.0424451 0.0445753 0.0424451 0.0445753 0.0424451
47557 0.0497067 0.0450541 0.0497067 0.0450541 0.0497067 0.0450541
47568 0.0223638 0.0208134 0.0223638 0.0208134 0.0223638 0.0208134
47582 0.0480818 0.0431184 0.0480818 0.0431184 0.0480818 0.0431184
47601 0.0080141 0.0073945 0.0080141 0.0073945 0.0080141 0.0073945
47628 0.0070252 0.0065597 0.0070252 0.0065597 0.0070252 0.0065597
47634 0.0293991 0.0275521 0.0293991 0.0275521 0.0293991 0.0275521
47635 0.0258608 0.0243293 0.0258608 0.0243293 0.0258608 0.0243293
47636 0.0135169 0.0127504 0.0135169 0.0127504 0.0135169 0.0127504
47637 0.0146980 0.0138791 0.0146980 0.0138791 0.0146980 0.0138791
47638 0.0113577 0.0107555 0.0113577 0.0107555 0.0113577 0.0107555
47650 0.0144175 0.0129035 0.0144175 0.0129035 0.0144175 0.0129035
47657 0.0290120 0.0263355 0.0290120 0.0263355 0.0290120 0.0263355
47658 0.0576735 0.0529400 0.0576735 0.0529400 0.0576735 0.0529400
47659 0.0122904 0.0113358 0.0122904 0.0113358 0.0122904 0.0113358
47661 0.0301203 0.0278752 0.0301203 0.0278752 0.0301203 0.0278752
47662 0.0189462 0.0175818 0.0189462 0.0175818 0.0189462 0.0175818
47664 0.0118700 0.0110420 0.0118700 0.0110420 0.0118700 0.0110420
47666 0.0179399 0.0167865 0.0179399 0.0167865 0.0179399 0.0167865
47667 0.0205561 0.0192690 0.0205561 0.0192690 0.0205561 0.0192690
47714 0.0062070 0.0055150 0.0062070 0.0055150 0.0062070 0.0055150
47715 0.0128393 0.0115734 0.0128393 0.0115734 0.0128393 0.0115734
47716 0.0142304 0.0128942 0.0142304 0.0128942 0.0142304 0.0128942
47719 0.0100377 0.0091892 0.0100377 0.0091892 0.0100377 0.0091892
47720 0.0470933 0.0434356 0.0470933 0.0434356 0.0470933 0.0434356
47722 0.0347295 0.0322506 0.0347295 0.0322506 0.0347295 0.0322506
47723 0.0355313 0.0331304 0.0355313 0.0331304 0.0355313 0.0331304
47724 0.0385416 0.0360664 0.0385416 0.0360664 0.0385416 0.0360664
47725 0.0104363 0.0097910 0.0104363 0.0097910 0.0104363 0.0097910
47726 0.0493954 0.0464710 0.0493954 0.0464710 0.0493954 0.0464710
47727 0.0224089 0.0211349 0.0224089 0.0211349 0.0112044 0.0105674
47730 0.0066708 0.0063037 0.0066708 0.0063037 0.0066708 0.0063037
47732 0.0410362 0.0388562 0.0410362 0.0388562 0.0410362 0.0388562
47733 0.0402758 0.0382310 0.0402758 0.0382310 0.0402758 0.0382310
47783 0.0043898 0.0040661 0.0043898 0.0040661 0.0043898 0.0040661
47791 0.0312585 0.0291393 0.0312585 0.0291393 0.0312585 0.0291393
47810 0.0486422 0.0452490 0.0486422 0.0452490 0.0486422 0.0452490
47824 0.0279527 0.0261126 0.0279527 0.0261126 0.0279527 0.0261126
47831 0.0071018 0.0066469 0.0071018 0.0066469 0.0071018 0.0066469
47834 0.0018599 0.0017417 0.0018599 0.0017417 0.0018599 0.0017417
47836 0.0115861 0.0108781 0.0115861 0.0108781 0.0115861 0.0108781
47852 0.0060872 0.0057319 0.0060872 0.0057319 0.0060872 0.0057319
47856 0.0081938 0.0077210 0.0081938 0.0077210 0.0081938 0.0077210
47869 0.0081794 0.0077199 0.0081794 0.0077199 0.0081794 0.0077199
47873 0.0181286 0.0171264 0.0181286 0.0171264 0.0181286 0.0171264
47889 0.0233852 0.0212382 0.0233852 0.0212382 0.0233852 0.0212382
47890 0.0189625 0.0173274 0.0189625 0.0173274 0.0189625 0.0173274
47892 0.0224575 0.0205716 0.0224575 0.0205716 0.0224575 0.0205716
47893 0.0161754 0.0149042 0.0161754 0.0149042 0.0161754 0.0149042
47940 0.0029307 0.0026163 0.0029307 0.0026163 0.0029307 0.0026163
47944 0.0141854 0.0128777 0.0141854 0.0128777 0.0141854 0.0128777
47946 0.0102986 0.0094385 0.0102986 0.0094385 0.0102986 0.0094385
47972 0.0319794 0.0303962 0.0319794 0.0303962 0.0319794 0.0303962
47975 0.0089816 0.0085701 0.0089816 0.0085701 0.0089816 0.0085701
47976 0.0277847 0.0265770 0.0277847 0.0265770 0.0277847 0.0265770
47977 0.0079001 0.0075666 0.0079001 0.0075666 0.0079001 0.0075666
