# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 17:     0-3%
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  75.692505  17.204041  -18.552769 
-5.1  90.281624  25.835495  -16.268074 
-4.9  119.057579  24.936958  -23.992035 
-4.7  151.716873  25.168106  -30.877167 
-4.5  178.152969  36.747299  -26.477142 
-4.3  230.907578  26.899155  -43.342056 
-4.1  269.672028  35.277252  -41.652237 
-3.9  306.171844  49.061310  -34.170776 
-3.7  358.351746  48.836395  -40.379669 
-3.5  404.132111  54.983948  -40.053375 
-3.3  436.306763  72.986694  -27.877167 
-3.1  490.547882  65.631561  -41.160767 
-2.9  540.784241  57.791077  -55.006531 
-2.7  570.156677  65.546204  -53.185669 
-2.5  599.570190  67.628784  -56.735718 
-2.3  623.713379  69.333313  -60.103271 
-2.1  644.024292  69.452454  -64.254578 
-1.9  672.694946  56.173645  -80.807617 
-1.7  683.087891  56.584290  -82.538391 
-1.5  680.274170  66.087952  -73.968201 
-1.3  682.567139  66.863647  -72.911072 
-1.1  676.896179  72.524963  -65.831909 
-0.9  681.272156  65.723877  -70.276001 
-0.7  675.285034  67.738831  -65.323303 
-0.5  658.730835  79.899475  -50.187500 
-0.3  673.688232  61.447144  -66.315979 
-0.1  667.035828  66.774109  -60.003418 
0.1  667.697815  66.112122  -60.665405 
0.3  674.310852  60.824524  -66.938599 
0.5  657.942993  80.687317  -49.399658 
0.7  669.506165  73.517700  -59.544434 
0.9  670.811584  76.184448  -59.815430 
1.1  675.241821  74.179321  -64.177551 
1.3  679.236938  70.193848  -69.580872 
1.5  683.920349  62.441772  -77.614380 
1.7  682.991577  56.680542  -82.442078 
1.9  672.087463  56.781128  -80.200134 
2.1  660.751160  52.725586  -80.981445 
2.3  634.857605  58.189026  -71.247498 
2.5  606.951660  60.247253  -64.117249 
2.7  588.945557  46.757324  -71.974548 
2.9  539.689087  58.886169  -53.911407 
3.1  499.566071  56.613312  -50.179016 
3.3  453.511444  55.781952  -45.081879 
3.5  418.197266  40.918732  -54.118591 
3.7  365.231079  41.957062  -47.259003 
3.9  318.414673  36.818420  -46.413635 
4.1  274.387665  30.561523  -46.367966 
4.3  233.747589  24.059143  -46.182068 
4.5  188.432129  26.468140  -36.756302 
4.7  150.708405  26.176483  -29.868767 
4.9  119.180840  24.813698  -24.115295 
5.1  95.168541  20.948517  -21.155037 
5.3  71.468575  21.427971  -14.328838 
&
