# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 14:     10-15%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  62.266682  14.970348  -15.000114 
-5.1  75.901955  18.578873  -15.824608 
-4.9  95.732384  18.939507  -20.029732 
-4.7  118.414955  19.500771  -24.014908 
-4.5  139.675171  24.479874  -23.407242 
-4.3  169.380569  23.746887  -28.210709 
-4.1  198.873245  25.469788  -30.195938 
-3.9  219.899948  37.194412  -21.842285 
-3.7  255.162186  35.343582  -26.834396 
-3.5  285.861542  37.754578  -27.489960 
-3.3  312.427917  43.051758  -25.333160 
-3.1  348.885040  36.377472  -35.312164 
-2.9  374.343811  37.969574  -37.192474 
-2.7  393.793060  42.403992  -36.315216 
-2.5  414.179504  42.510925  -39.705292 
-2.3  430.310211  43.440125  -42.039612 
-2.1  438.514313  48.952942  -39.385437 
-1.9  455.613708  42.404266  -48.239288 
-1.7  465.546295  40.081085  -52.199402 
-1.5  470.603699  39.943085  -53.231293 
-1.3  470.187927  42.865479  -50.431671 
-1.1  471.311584  42.162415  -50.518219 
-0.9  463.689178  48.541840  -42.896851 
-0.7  465.068848  44.830963  -44.964172 
-0.5  462.258728  44.983429  -43.116119 
-0.3  456.643127  48.517670  -38.282654 
-0.1  458.225830  46.304535  -40.043976 
0.1  460.848511  43.681854  -42.666656 
0.3  461.233063  43.927734  -42.872589 
0.5  456.373718  50.868439  -37.231110 
0.7  464.520935  45.378876  -44.416260 
0.9  462.143951  50.087067  -41.351624 
1.1  464.447296  49.026703  -43.653931 
1.3  467.416901  45.636505  -47.660645 
1.5  469.908325  40.638458  -52.535919 
1.7  463.232422  42.394928  -49.885529 
1.9  455.347626  42.670349  -47.973206 
2.1  445.483917  41.983337  -46.355042 
2.3  434.613770  39.136536  -46.343170 
2.5  414.737671  41.952728  -40.263458 
2.7  392.173981  44.023071  -34.696136 
2.9  373.014435  39.298920  -35.863098 
3.1  359.526581  25.735901  -45.953735 
3.3  323.299316  32.180328  -36.204590 
3.5  294.622528  28.993561  -36.250977 
3.7  259.716553  30.789215  -31.388763 
3.9  226.878723  30.215607  -28.821091 
4.1  198.708740  25.634216  -30.031509 
4.3  171.365479  21.761978  -30.195618 
4.5  140.083511  24.071533  -23.815582 
4.7  116.670486  21.245178  -22.270493 
4.9  96.030296  18.641594  -20.327644 
5.1  78.311104  16.169678  -18.233791 
5.3  64.196358  13.040672  -16.929790 
&
