# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 13:    15-20%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  54.036411  13.087147  -14.516613 
-5.1  64.642853  17.245544  -14.142212 
-4.9  79.989861  19.109116  -16.061417 
-4.7  102.558601  16.255318  -22.548050 
-4.5  117.885277  23.065498  -19.086906 
-4.3  144.438644  20.816010  -24.319298 
-4.1  169.591827  21.693481  -26.059982 
-3.9  189.421356  29.010635  -21.092911 
-3.7  217.308289  28.651581  -23.704926 
-3.5  239.796280  33.285141  -21.421082 
-3.3  264.845367  34.193237  -23.113129 
-3.1  293.845337  29.332672  -30.888672 
-2.9  310.750702  34.251556  -29.157288 
-2.7  327.265289  36.925812  -29.810059 
-2.5  341.867035  38.725922  -31.288422 
-2.3  355.774994  38.420776  -34.619354 
-2.1  366.371979  38.716675  -36.906799 
-1.9  376.419739  37.004242  -40.602631 
-1.7  384.885651  34.502228  -44.370605 
-1.5  386.758514  36.425751  -42.921722 
-1.3  386.586029  38.450348  -40.556519 
-1.1  387.487213  37.720215  -40.171326 
-0.9  387.127563  36.912323  -39.219391 
-0.7  388.420349  33.582703  -40.395691 
-0.5  383.504913  36.216095  -35.604706 
-0.3  381.801727  36.133636  -34.022186 
-0.1  377.167084  40.197906  -29.282623 
0.1  379.746979  37.618011  -31.862518 
0.3  380.561584  37.373779  -32.782043 
0.5  385.319244  34.401794  -37.419037 
0.7  383.413147  38.589905  -35.388489 
0.9  386.578918  37.460968  -38.670746 
1.1  386.006348  39.201080  -38.690460 
1.3  386.889374  38.147003  -40.859863 
1.5  381.670563  41.513702  -37.833771 
1.7  377.018860  42.368988  -36.503815 
1.9  375.869873  37.554108  -40.052795 
2.1  370.366089  34.722565  -40.900940 
2.3  359.696899  34.498840  -38.541260 
2.5  346.070648  34.522278  -35.492065 
2.7  329.812164  34.378937  -32.356934 
2.9  311.350769  33.651489  -29.757385 
3.1  301.909454  21.268524  -38.952820 
3.3  277.433777  21.604797  -35.701569 
3.5  251.136673  21.944717  -32.761505 
3.7  216.640625  29.319244  -23.037262 
3.9  192.928421  25.503540  -24.600006 
4.1  167.411911  23.873337  -23.880127 
4.3  144.679352  20.575302  -24.560005 
4.5  119.053421  21.897354  -20.255051 
4.7  99.394302  19.419571  -19.383789 
4.9  84.296890  14.802086  -20.368446 
5.1  66.683052  15.205307  -16.182438 
5.3  54.592110  12.531448  -15.072311 
&
