# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 12:  20-25%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  49.332485  10.653969  -14.503975 
-5.1  56.166317  16.340626  -11.882759 
-4.9  71.554466  15.393402  -15.787357 
-4.7  88.470474  14.851440  -19.048164 
-4.5  99.953392  21.577995  -14.696686 
-4.3  122.524422  18.824852  -19.433281 
-4.1  144.828461  17.586197  -22.298027 
-3.9  161.512680  22.735291  -18.538071 
-3.7  182.207199  24.080353  -18.527023 
-3.5  203.899902  24.041809  -20.038788 
-3.3  219.540192  29.106201  -16.737930 
-3.1  249.507217  18.409409  -29.555496 
-2.9  257.104675  28.276611  -22.136429 
-2.7  272.498566  28.298523  -24.778488 
-2.5  284.199615  29.842804  -25.952179 
-2.3  296.216644  28.880829  -29.508148 
-2.1  305.237976  28.779327  -31.911926 
-1.9  315.829865  25.075684  -37.484863 
-1.7  317.560883  28.332672  -35.556793 
-1.5  321.662933  27.466766  -37.140930 
-1.3  319.209839  31.571777  -33.114960 
-1.1  317.459137  33.594635  -30.555634 
-0.9  320.981079  29.238495  -33.854248 
-0.7  317.111542  31.548981  -30.153564 
-0.5  315.959534  30.929138  -29.345581 
-0.3  318.599426  26.916077  -32.272034 
-0.1  316.495270  28.640198  -30.183044 
0.1  316.479492  28.655975  -30.167267 
0.3  313.533783  31.981720  -27.206390 
0.5  313.489319  33.399353  -26.875366 
0.7  314.660583  33.999939  -27.702606 
0.9  315.351776  34.867798  -28.224945 
1.1  313.832275  37.221497  -26.928772 
1.3  316.202515  34.579102  -30.107635 
1.5  315.296753  33.832947  -30.774750 
1.7  317.296844  28.596680  -35.292755 
1.9  310.707367  30.198181  -32.362366 
2.1  306.974579  27.042725  -33.648529 
2.3  294.912567  30.184875  -28.204102 
2.5  285.584045  28.458374  -27.336639 
2.7  271.445312  29.351776  -23.725235 
2.9  258.138092  27.243195  -23.169861 
3.1  251.260391  16.656204  -31.308701 
3.3  228.725220  19.921158  -25.922974 
3.5  207.020126  20.921555  -23.159042 
3.7  181.621292  24.666260  -17.941116 
3.9  163.608383  20.639557  -20.633789 
4.1  142.195663  20.218933  -19.665276 
4.3  121.320702  20.028572  -18.229561 
4.5  104.312622  17.218765  -19.055916 
4.7  87.092300  16.229576  -17.670021 
4.9  72.900864  14.047005  -17.133755 
5.1  59.988514  12.518398  -15.704983 
5.3  51.397297  8.589157  -16.568787 
&
