# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 11:           25-30%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# --------------------------------------  
-5.3  43.367561  8.315174  -11.753609 
-5.1  50.822456  11.487831  -11.205975 
-4.9  63.545067  10.962059  -14.358669 
-4.7  76.095177  12.164749  -15.694164 
-4.5  85.056892  18.403976  -11.822365 
-4.3  103.290581  16.604652  -15.763504 
-4.1  119.889488  17.352486  -16.919571 
-3.9  137.344238  17.746735  -18.226585 
-3.7  148.498505  24.478165  -13.067017 
-3.5  167.207977  23.214371  -15.861710 
-3.3  183.416580  23.569565  -17.072281 
-3.1  205.672882  16.626617  -25.656601 
-2.9  210.720520  25.370270  -18.625809 
-2.7  225.671463  22.520355  -23.214920 
-2.5  231.942566  26.586823  -20.840714 
-2.3  244.431686  22.675247  -26.311966 
-2.1  251.179947  22.802322  -27.527267 
-1.9  253.646500  25.600266  -25.779831 
-1.7  258.258545  24.751099  -27.328323 
-1.5  263.035919  22.354706  -30.032455 
-1.3  265.004822  21.518219  -30.768356 
-1.1  260.270447  26.298523  -25.494568 
-0.9  262.187592  23.558868  -27.409683 
-0.7  260.117737  24.243652  -25.693909 
-0.5  259.362518  23.463928  -25.433609 
-0.3  257.078735  24.556732  -23.546539 
-0.1  256.199585  25.069366  -22.742249 
0.1  254.677002  26.591949  -21.219666 
0.3  256.607605  25.027863  -23.075409 
0.5  256.813324  26.013123  -22.884415 
0.7  257.319122  27.042267  -22.895294 
0.9  258.853210  26.893250  -24.075302 
1.1  258.908752  27.660217  -24.132874 
1.3  258.058533  28.464508  -23.822067 
1.5  257.422333  27.968292  -24.418869 
1.7  256.332825  26.676819  -25.402603 
1.9  257.544006  21.702728  -29.677338 
2.1  252.236465  21.745773  -28.583786 
2.3  240.323273  26.783630  -22.203552 
2.5  232.202835  26.326553  -21.100998 
2.7  222.916916  25.274902  -20.460373 
2.9  213.281219  22.809555  -21.186523 
3.1  207.915421  14.384064  -27.899155 
3.3  190.667496  16.318619  -24.323212 
3.5  174.495514  15.926819  -23.149261 
3.7  153.146912  19.829758  -17.715424 
3.9  135.062759  20.028198  -15.945122 
4.1  120.580269  16.661659  -17.610390 
4.3  102.852730  17.042503  -15.325653 
4.5  87.546570  15.914299  -14.312042 
4.7  75.267883  12.992012  -14.866901 
4.9  63.793167  10.713959  -14.606770 
5.1  52.116383  10.193878  -12.499924 
5.3  43.453327  8.229408  -11.839375 
&
