# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
#
# Centrality bin number 10:       30-35%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  38.594719  7.059914  -10.878553 
-5.1  45.380497  8.948868  -11.044270 
-4.9  53.428120  10.733936  -11.271950 
-4.7  64.949959  10.177811  -13.735371 
-4.5  70.507156  16.629929  -9.034481 
-4.3  83.639542  16.390198  -10.844185 
-4.1  98.592331  14.983963  -13.647949 
-3.9  109.010262  18.479324  -11.420761 
-3.7  125.262039  16.183716  -14.922462 
-3.5  135.156738  19.954697  -12.368637 
-3.3  148.271851  19.900513  -13.709457 
-3.1  160.894394  19.463562  -15.530090 
-2.9  173.098358  18.359619  -18.105057 
-2.7  182.557175  18.771820  -19.207306 
-2.5  187.816132  22.075546  -17.393478 
-2.3  198.984909  18.136307  -22.718231 
-2.1  200.527115  22.507309  -19.547806 
-1.9  207.959259  19.717316  -23.280029 
-1.7  213.420883  17.690445  -25.930023 
-1.5  210.787964  22.627899  -21.252640 
-1.3  213.566360  21.117371  -22.638794 
-1.1  215.354446  19.682541  -23.575348 
-0.9  213.599411  21.048492  -21.394363 
-0.7  211.910278  21.854370  -19.577118 
-0.5  214.703812  18.022430  -22.394974 
-0.3  211.560455  20.380615  -19.271484 
-0.1  212.007523  19.800705  -19.588806 
0.1  210.022324  21.785904  -17.603622 
0.3  210.292587  21.648483  -18.003616 
0.5  211.195206  21.531036  -18.886368 
0.7  213.971588  19.793060  -21.638428 
0.9  213.987946  20.659958  -21.782898 
1.1  211.163223  23.873764  -19.384125 
1.3  208.983978  25.699753  -18.056412 
1.5  212.093079  21.322784  -22.557755 
1.7  207.970657  23.140656  -20.479797 
1.9  205.380814  22.295746  -20.701599 
2.1  206.093719  16.940689  -25.114410 
2.3  198.512131  18.609085  -22.245453 
2.5  189.706711  20.184952  -19.284058 
2.7  181.236877  20.092117  -17.887009 
2.9  173.282166  18.175812  -18.288864 
3.1  167.909637  12.448303  -22.545349 
3.3  155.540833  12.631516  -20.978455 
3.5  142.835556  12.275864  -20.047462 
3.7  124.596375  16.849380  -14.256798 
3.9  112.501633  14.987938  -14.912148 
4.1  99.093086  14.483177  -14.148735 
4.3  87.021461  13.008278  -14.226105 
4.5  72.766289  14.370796  -11.293613 
4.7  64.856735  10.271011  -13.642170 
4.9  54.717468  9.444588  -12.561298 
5.1  45.099613  9.229729  -10.763405 
5.3  40.467052  5.187580  -12.750887 
