# -----------------------------------
#PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 09:      35-40%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  31.981182  6.656689  -9.108019 
-5.1  36.843636  8.887169  -8.603880 
-4.9  44.438866  9.276604  -9.884548 
-4.7  54.790825  7.768890  -12.949509 
-4.5  58.010597  14.171028  -7.946545 
-4.3  70.670776  11.775528  -11.559845 
-4.1  81.601006  11.567841  -12.809837 
-3.9  90.535728  13.588638  -11.691414 
-3.7  99.897980  15.166603  -10.933281 
-3.5  108.606071  17.132080  -9.769768 
-3.3  119.227112  16.684143  -11.057007 
-3.1  134.486374  10.898392  -17.751701 
-2.9  139.035431  14.969940  -14.661888 
-2.7  144.648254  17.020996  -13.640625 
-2.5  149.325729  18.993835  -12.700058 
-2.3  156.169312  17.769714  -14.901718 
-2.1  161.944244  16.596085  -16.937912 
-1.9  164.416061  17.740692  -16.484268 
-1.7  167.335403  17.499573  -17.196472 
-1.5  170.211685  16.420303  -18.490738 
-1.3  170.469543  17.148392  -17.702057 
-1.1  171.561996  16.324127  -18.194504 
-0.9  172.428848  15.141739  -18.813080 
-0.7  170.988998  15.877716  -17.367905 
-0.5  172.743362  13.299820  -19.232559 
-0.3  168.253296  17.171387  -14.828445 
-0.1  170.847931  14.481155  -17.354218 
0.1  166.887863  18.441223  -13.394150 
0.3  167.947479  17.477203  -14.522629 
0.5  171.370483  14.672699  -17.859680 
0.7  168.801620  18.065109  -15.180527 
0.9  169.298233  18.272354  -15.682465 
1.1  167.525314  20.360809  -14.157822 
1.3  168.943146  18.674789  -16.175659 
1.5  172.544403  14.087585  -20.823456 
1.7  167.224487  17.610489  -17.085556 
1.9  165.526779  16.629974  -17.594986 
2.1  161.916702  16.623611  -16.910370 
2.3  156.489014  17.449997  -15.221420 
2.5  153.884933  14.434631  -17.259262 
2.7  146.539322  15.129929  -15.531693 
2.9  138.932495  15.072861  -14.558960 
3.1  134.296387  11.088379  -17.561722 
3.3  126.344467  9.566772  -18.174370 
3.5  114.673492  11.064651  -15.837196 
3.7  102.929977  12.134605  -13.965279 
3.9  92.965225  11.159134  -14.120918 
4.1  78.790703  14.378120  -9.999557 
4.3  69.910080  12.536224  -10.799149 
4.5  60.091244  12.090382  -10.027191 
4.7  53.077797  9.481899  -11.236500 
4.9  44.576221  9.139248  -10.021904 
5.1  36.651417  9.079369  -8.411674 
5.3  32.023609  6.614262  -9.150446 
&
