# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number:  08     40-45%  
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------  
-5.3  27.773668  4.210642  -8.219822 
-5.1  30.539040  7.220802  -6.487253 
-4.9  37.362217  6.877178  -8.052048 
-4.7  44.966503  6.425491  -9.631336 
-4.5  48.431343  10.715900  -6.350044 
-4.3  58.298130  9.095379  -8.855591 
-4.1  67.122414  8.858543  -9.870552 
-3.9  74.049423  10.680580  -8.757355 
-3.7  80.542580  12.902054  -7.224968 
-3.5  89.056839  12.871468  -7.973785 
-3.3  98.134621  11.865036  -9.763290 
-3.1  109.408707  8.096695  -14.393463 
-2.9  111.944122  12.384201  -11.036255 
-2.7  118.474289  11.915482  -12.472519 
-2.5  122.381935  13.265343  -12.082191 
-2.3  127.258469  12.830139  -13.417236 
-2.1  129.171936  14.552414  -12.483650 
-1.9  133.873077  12.707626  -14.959435 
-1.7  136.801697  11.892288  -16.209496 
-1.5  137.126205  12.982300  -15.329872 
-1.3  137.722244  13.156769  -15.127335 
-1.1  138.123138  12.955856  -15.067406 
-0.9  136.633652  14.181122  -13.382935 
-0.7  137.282761  12.959473  -14.020744 
-0.5  138.546844  11.029480  -15.361229 
-0.3  137.745209  11.332092  -14.618431 
-0.1  135.097687  13.902405  -11.914124 
0.1  132.701340  16.298752  -9.517776 
0.3  135.617691  13.459610  -12.490913 
0.5  135.619797  13.956528  -12.434181 
0.7  137.394196  12.848038  -14.132179 
0.9  134.681396  16.133377  -11.430679 
1.1  135.316132  15.762863  -12.260399 
1.3  136.532318  14.346695  -13.937408 
1.5  133.853714  16.254791  -12.057388 
1.7  134.742462  13.951523  -14.150269 
1.9  131.940414  14.640289  -13.026772 
2.1  132.156128  11.568222  -15.467842 
2.3  127.080917  13.007675  -13.239685 
2.5  124.713684  10.933594  -14.413940 
2.7  120.079979  10.309792  -14.078209 
2.9  109.835976  14.492340  -8.928116 
3.1  108.119164  9.386230  -13.103928 
3.3  101.595047  8.404602  -13.223724 
3.5  90.007935  11.920364  -8.924889 
3.7  82.689293  10.755341  -9.371681 
3.9  75.272392  9.457596  -9.980339 
4.1  66.532684  9.448250  -9.280842 
4.3  57.818527  9.574982  -8.375988 
4.5  49.914921  9.232323  -7.833622 
4.7  44.746624  6.645355  -9.411472 
4.9  37.347755  6.891640  -8.037586 
5.1  31.349911  6.409916  -7.298138 
5.3  26.568764  5.415546  -7.014917 
&
