# -------------------------------------------------------
#            PHOBOS experiment : Au+Au at 200 GeV 
# ------------------------------------------------------- 
# Centrality bin number 07:     45-50%
# 
# dN/dEta vs. Eta 
# 
# eta	dN_ch/dEta   	+err      -err   
# -------------------------------------------------------  
-5.3  22.503254  3.822571  -7.628599 
-5.1  25.346315  5.559828  -6.894835 
-4.9  30.799885  5.202618  -8.143711 
-4.7  35.834713  5.745930  -8.343693 
-4.5  39.229225  8.347733  -6.318085 
-4.3  45.029099  8.869476  -6.212097 
-4.1  53.392952  7.034046  -8.337345 
-3.9  59.101227  7.924255  -7.668449 
-3.7  64.334732  9.214661  -6.599277 
-3.5  70.974426  8.883255  -7.215633 
-3.3  75.965546  9.857994  -6.634575 
-3.1  86.480034  4.862549  -12.150368 
-2.9  86.651993  9.685364  -7.964661 
-2.7  91.266708  9.491226  -8.880219 
-2.5  95.482063  9.097389  -10.033371 
-2.3  97.068413  10.729027  -9.147194 
-2.1  99.951180  10.471199  -10.086349 
-1.9  102.704880  9.769775  -11.360603 
-1.7  103.870445  10.110542  -11.448181 
-1.5  103.964989  11.008308  -10.808372 
-1.3  106.501495  8.989540  -12.901009 
-1.1  104.689232  10.898582  -10.884155 
-0.9  104.610847  10.731575  -10.786461 
-0.7  104.122070  10.749611  -10.401512 
-0.5  105.688576  8.649254  -12.121574 
-0.3  100.807373  13.130569  -7.362503 
-0.1  104.855003  9.010292  -11.425110 
0.1  104.141808  9.723488  -10.711914 
0.3  103.096786  10.841156  -9.651917 
0.5  102.649086  11.688744  -9.082085 
0.7  103.899773  10.971909  -10.179214 
0.9  104.037941  11.304482  -10.213554 
1.1  102.479706  13.108109  -8.674629 
1.3  104.379005  11.112030  -10.778519 
1.5  103.571266  11.402031  -10.414650 
1.7  105.238594  8.742393  -12.816330 
1.9  103.459724  9.014923  -12.115448 
2.1  98.727043  11.695335  -8.862221 
2.3  98.199493  9.597946  -10.278275 
2.5  93.872063  10.707390  -8.423370 
2.7  92.117432  8.640503  -9.730942 
2.9  86.480820  9.856529  -7.793495 
3.1  86.133606  5.208977  -11.803947 
3.3  78.561043  7.262489  -9.230080 
3.5  72.050591  7.807083  -8.291805 
3.7  65.211937  8.337456  -7.476482 
3.9  58.764927  8.260548  -7.332157 
4.1  51.086823  9.340160  -6.031231 
4.3  45.246571  8.652004  -6.429569 
4.5  38.762558  8.814400  -5.851418 
4.7  34.860516  6.720112  -7.369509 
4.9  29.561140  6.441362  -6.904966 
5.1  25.102350  5.803782  -6.650879 
5.3  21.174770  5.151054  -6.300116 
&
