# -----------------------------------
# PHOBOS experiment : AuAu at 200 GeV 
# ----------------------------------- 
# Centrality bin number 15:   6-10% 
# 
# dN/dEta vs. Eta 
# 
#   eta       dN_ch/dEta   +err      -err   
# -------------------------------------------------------  
-5.3  66.552315  18.040314  -15.559864 
-5.1  81.143486  23.216248  -15.776207 
-4.9  105.073273  22.652512  -21.992363 
-4.7  132.410583  22.461288  -27.912529 
-4.5  155.094833  30.685898  -25.289429 
-4.3  192.098938  28.076385  -33.188553 
-4.1  227.808228  29.672974  -36.451706 
-3.9  257.933594  38.897797  -31.641357 
-3.7  292.328156  44.797394  -29.803833 
-3.5  330.815521  46.322723  -32.154480 
-3.3  358.876709  56.778412  -25.563904 
-3.1  406.713531  44.891907  -41.421539 
-2.9  435.704803  48.454987  -41.952484 
-2.7  461.414124  51.361389  -43.176025 
-2.5  485.904663  51.285583  -47.254822 
-2.3  508.736267  48.639832  -53.578308 
-2.1  519.503906  53.971924  -51.402252 
-1.9  537.041260  48.697083  -59.142242 
-1.7  542.211426  52.255981  -57.228821 
-1.5  552.656616  47.335693  -62.893280 
-1.3  548.225464  54.440369  -55.605225 
-1.1  542.598145  60.293335  -48.686279 
-0.9  546.857117  54.321838  -52.853363 
-0.7  539.963806  58.247742  -46.661926 
-0.5  539.454895  55.431641  -47.181396 
-0.3  536.338318  55.924927  -44.910736 
-0.1  550.328247  41.036865  -59.092255 
0.1  543.212463  48.152649  -51.976471 
0.3  546.471252  45.791992  -55.043671 
0.5  538.235718  56.650879  -45.962219 
0.7  540.873413  57.338135  -47.571533 
0.9  553.052917  48.126038  -59.049164 
1.1  542.851868  60.039612  -48.940002 
1.3  544.876831  57.789001  -52.256592 
1.5  547.593262  52.399048  -57.829926 
1.7  544.183167  50.284241  -59.200562 
1.9  535.575623  50.162720  -57.676605 
2.1  516.764038  56.711792  -48.662384 
2.3  506.960144  50.415894  -51.802185 
2.5  488.169678  49.020569  -49.519867 
2.7  466.863251  45.912262  -48.625153 
2.9  443.452850  40.706909  -49.700562 
3.1  416.901611  34.703796  -51.609680 
3.3  377.780212  37.874878  -44.467438 
3.5  345.313049  31.825134  -46.652039 
3.7  304.247742  32.877808  -41.723419 
3.9  261.524475  35.306885  -35.232285 
4.1  226.656876  30.824234  -35.300430 
4.3  193.633987  26.541336  -34.723602 
4.5  158.607300  27.173431  -28.801895 
4.7  130.937469  23.934341  -26.439476 
4.9  107.300110  20.425674  -24.219200 
5.1  85.623856  18.735825  -20.256615 
5.3  66.197273  18.395355  -15.204823 
&
