Index,Energy,Asymmetry,Chi2,DeltaR,FitStart,FitEnd,FindBin1,FindBin2,SigmaEstimate,SigmaParScale,NumEntries,YAxisLower,YAxisUpper
0,1,0.5,4,0,0.052,0.4,0.12,0.18,0.03,0.01,4.51E+06,0,180000
1,1,0.5,4,0,0.068,0.4,0.12,0.18,0.0282,0.01,1.43E+06,0,50000
2,1,0.5,4,0,0.065,0.4,0.12,0.18,0.0264,0.01,385959,0,15000
3,1,0.5,4,0,0.06,0.4,0.12,0.18,0.027,0.01,104202,0,6200
4,1,0.5,4,0,0.045,0.4,0.12,0.18,0.03,0.01,29383,0,2400
5,1,0.5,4,0,0.055,0.4,0.12,0.18,0.027,0.01,9376,0,1000
6,1,0.5,4,0,0.08,0.4,0.12,0.18,0.033,0.01,3.26E+07,0,1.20E+06
7,1,0.5,4,0,0.065,0.4,0.12,0.18,0.0325,0.01,1.01E+07,0,380000
8,1,0.5,4,0,0.06,0.4,0.12,0.18,0.029,0.01,2.59E+06,0,100000
9,1,0.5,4,0,0.045,0.4,0.12,0.18,0.027,0.01,644783,0,25000
10,1,0.5,4,0,0.055,0.4,0.12,0.18,0.03,0.01,161404,0,6800
11,1,0.5,4,0,0.05,0.4,0.12,0.18,0.03,0.01,43759,0,2500
12,1,0.5,4,0,0.06,0.4,0.12,0.18,0.033,0.01,1.47E+08,0,5.80E+06
13,1,0.5,4,0,0.08,0.4,0.12,0.18,0.033,0.01,4.49E+07,0,1.80E+06
14,1,0.5,4,0,0.03,0.4,0.12,0.18,0.04125,0.01,1.10E+07,0,450000
15,1,0.5,4,0,0.04,0.4,0.12,0.18,0.0375,0.01,2.60E+06,0,100000
16,1,0.5,4,0,0.055,0.4,0.12,0.18,0.03625,0.01,600463,0,25000
17,1,0.5,4,0,0.08,0.4,0.12,0.18,0.03615,0.01,146146,0,5500
