Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.167211,0.000201552,0.02222,6.93E-05,0.272233,0.00190189,4.51E+06,87454.2,660.742,0.00755529,0.122771,0.211651
1,1,0.5,4,0,0.167427,0.000233497,0.02178,2.98E-05,0.412158,0.00357244,1.43E+06,47004.3,403.186,0.00857764,0.123867,0.210987
2,1,0.5,4,0,0.16578,0.000262483,0.02178,2.88E-05,0.685089,0.00795665,385959,21769.4,231.765,0.0106464,0.12222,0.20934
3,1,0.5,4,0,0.162946,0.000351525,0.0220831,0.00036525,1.22951,0.0204736,104202,10474.8,141.064,0.013467,0.11878,0.207113
4,1,0.5,4,0,0.162803,0.000486028,0.02222,0.000308764,2.07416,0.0556807,29383,4718.48,85.5219,0.0181249,0.118363,0.207243
5,1,0.5,4,0,0.161551,0.000595674,0.02222,0.000438257,3.36787,0.149677,9376,2265.4,55.3444,0.0244303,0.117111,0.205991
6,1,0.5,4,0,0.173331,0.000261703,0.02424,2.62E-05,0.0815442,0.000598832,3.26E+07,207297,1609.72,0.00776528,0.124851,0.221811
7,1,0.5,4,0,0.173337,0.000370242,0.0265125,0.000272139,0.147846,0.00104926,1.01E+07,132663,1037.68,0.00782192,0.120312,0.226362
8,1,0.5,4,0,0.17166,0.000365938,0.02376,0.000296175,0.21179,0.00225586,2.59E+06,42536.8,491.032,0.0115437,0.12414,0.21918
9,1,0.5,4,0,0.169494,0.000409846,0.02222,0.000426636,0.327653,0.00487993,644783,17238.7,265.897,0.0154244,0.125054,0.213934
10,1,0.5,4,0,0.165378,0.000519925,0.02222,5.51E-05,0.630113,0.011749,161404,6838.73,148.889,0.0217714,0.120938,0.209818
11,1,0.5,4,0,0.164044,0.000638818,0.02222,7.90E-05,1.15838,0.029848,43759,3991.81,92.0869,0.023069,0.119604,0.208484
12,1,0.5,4,0,0.173127,0.000394571,0.02424,7.07E-06,0.0347582,0.000279953,1.47E+08,358184,3548.33,0.00990644,0.124647,0.221607
13,1,0.5,4,0,0.18743,0.000651831,0.027225,0.000520662,0.0280873,0.000452565,4.49E+07,96093.1,2039.22,0.0212213,0.13298,0.24188
14,1,0.5,4,0,0.190046,0.000783064,0.0297,0.000377605,0.0592289,0.000932681,1.10E+07,60513.9,1095.54,0.0181039,0.130646,0.249446
15,1,0.5,4,0,0.181681,0.00136803,0.027225,0.000529933,0.0757001,0.00201631,2.60E+06,17179.4,534.919,0.0311372,0.127231,0.236131
16,1,0.5,4,0,0.15375,5.15E-05,0.027775,2.46E-05,0.238356,0.00465441,600463,7635.71,270.152,0.0353801,0.0982,0.2093
17,1,0.5,4,0,0.156286,0.000890527,0.03333,9.37E-05,0.818292,0.0140305,146146,9192.41,151.592,0.016491,0.0896262,0.222946
