Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.168246,0.000245843,0.0297,8.97E-06,0.287143,0.00166874,4.51E+06,87454.2,660.742,0.00755529,0.108846,0.227646
1,1,0.5,4,0,0.166204,0.000265091,0.027918,1.37E-05,0.561497,0.00377009,1.43E+06,47004.3,403.186,0.00857764,0.110368,0.22204
2,1,0.5,4,0,0.166004,0.000272432,0.026136,1.37E-05,0.779804,0.00821844,385959,21769.4,231.765,0.0106464,0.113732,0.218276
3,1,0.5,4,0,0.16421,0.000353896,0.02673,2.41E-05,1.29213,0.0201659,104202,10474.8,141.064,0.013467,0.11075,0.21767
4,1,0.5,4,0,0.163132,0.000550773,0.0297,3.81E-05,3.37773,0.0929335,29383,4718.48,85.5219,0.0181249,0.103732,0.222532
5,1,0.5,4,0,0.161751,0.000572391,0.02673,8.33E-05,5.60024,0.27711,9376,2265.4,55.3444,0.0244303,0.108291,0.215211
6,1,0.5,4,0,0.171634,0.00034001,0.03267,0.000412979,0.118262,0.00056513,3.26E+07,207297,1609.72,0.00776528,0.106294,0.236974
7,1,0.5,4,0,0.175028,0.000334824,0.032175,1.67E-05,0.154774,0.000972391,1.01E+07,132663,1037.68,0.00782192,0.110678,0.239378
8,1,0.5,4,0,0.176582,0.000390815,0.02871,1.67E-05,0.167697,0.00203875,2.59E+06,42536.8,491.032,0.0115437,0.119162,0.234002
9,1,0.5,4,0,0.169847,0.000521985,0.02673,4.60E-05,0.302375,0.00459244,644783,17238.7,265.897,0.0154244,0.116387,0.223307
10,1,0.5,4,0,0.165191,0.000595196,0.0297,0.000418445,0.793377,0.0125104,161404,6838.73,148.889,0.0217714,0.105791,0.224591
11,1,0.5,4,0,0.16429,0.000633019,0.0297,0.000121486,1.73792,0.0407527,43759,3991.81,92.0869,0.023069,0.10489,0.22369
12,1,0.5,4,0,0.173115,0.000394636,0.03333,1.57E-05,0.0446965,0.000241532,1.47E+08,358184,3548.33,0.00990644,0.106455,0.239775
13,1,0.5,4,0,0.184607,0.00047392,0.03267,0.000616995,0.0633507,0.000454333,4.49E+07,96093.1,2039.22,0.0212213,0.119267,0.249947
14,1,0.5,4,0,0.14,1.48E-06,0.0416625,2.35E-06,0.278226,0.0011094,1.10E+07,60513.9,1095.54,0.0181039,0.056675,0.223325
15,1,0.5,4,0,0.14375,9.80E-06,0.037875,1.38E-05,0.228738,0.00214979,2.60E+06,17179.4,534.919,0.0311372,0.068,0.2195
16,1,0.5,4,0,0.145,8.02E-05,0.0366125,4.52E-05,0.406879,0.00509466,600463,7635.71,270.152,0.0353801,0.071775,0.218225
17,1,0.5,4,0,0.158691,0.000824707,0.0365115,0.000722624,0.716886,0.0122642,146146,9192.41,151.592,0.016491,0.085668,0.231714
