Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.168374,0.000261716,0.03168,8.23E-06,0.316322,0.00171613,4.51E+06,87454.2,660.742,0.00755529,0.105014,0.231734
1,1,0.5,4,0,0.169318,0.000249799,0.02871,6.85E-06,0.392951,0.00308361,1.43E+06,47004.3,403.186,0.00857764,0.111898,0.226738
2,1,0.5,4,0,0.166466,0.000302907,0.02673,1.19E-05,0.749889,0.00801891,385959,21769.4,231.765,0.0106464,0.113006,0.219926
3,1,0.5,4,0,0.164121,0.000356245,0.02772,2.31E-05,1.40367,0.0216985,104202,10474.8,141.064,0.013467,0.108681,0.219561
4,1,0.5,4,0,0.1631,0.000580095,0.03168,3.49E-05,3.73246,0.101443,29383,4718.48,85.5219,0.0181249,0.0997401,0.22646
5,1,0.5,4,0,0.161753,0.000569655,0.02772,7.43E-05,7.00763,0.374383,9376,2265.4,55.3444,0.0244303,0.106313,0.217193
6,1,0.5,4,0,0.171391,0.000345709,0.03366,0.000101188,0.113122,0.000531671,3.26E+07,207297,1609.72,0.00776528,0.104071,0.238711
7,1,0.5,4,0,0.175037,0.000345228,0.03267,1.62E-05,0.158733,0.000976202,1.01E+07,132663,1037.68,0.00782192,0.109697,0.240377
8,1,0.5,4,0,0.171315,0.000424477,0.0297,3.31E-05,0.256974,0.00216143,2.59E+06,42536.8,491.032,0.0115437,0.111915,0.230715
9,1,0.5,4,0,0.170133,0.000630032,0.0297,3.97E-05,0.315311,0.00429579,644783,17238.7,265.897,0.0154244,0.110733,0.229533
10,1,0.5,4,0,0.166826,0.000743137,0.03069,7.72E-05,0.655836,0.0107065,161404,6838.73,148.889,0.0217714,0.105446,0.228206
11,1,0.5,4,0,0.164054,0.000557148,0.03069,0.000113835,1.69382,0.0384163,43759,3991.81,92.0869,0.023069,0.102674,0.225434
12,1,0.5,4,0,0.179442,0.000393418,0.03434,0.000127518,0.0313673,0.000238337,1.47E+08,358184,3548.33,0.00990644,0.110762,0.248122
13,1,0.5,4,0,0.184725,0.000319897,0.034848,0.000119867,0.0650303,0.000429874,4.49E+07,96093.1,2039.22,0.0212213,0.115029,0.254421
14,1,0.5,4,0,0.199036,0.000628955,0.0417537,0.000230059,0.0897578,0.000795922,1.10E+07,60513.9,1095.54,0.0181039,0.115529,0.282543
15,1,0.5,4,0,0.14125,1.07E-05,0.0404,1.91E-05,0.28175,0.00225711,2.60E+06,17179.4,534.919,0.0311372,0.06045,0.22205
16,1,0.5,4,0,0.14375,0.000105673,0.037875,5.10E-05,0.459848,0.00535036,600463,7635.71,270.152,0.0353801,0.068,0.2195
17,1,0.5,4,0,0.156236,0.000964203,0.0368145,0.000468449,0.938277,0.0146475,146146,9192.41,151.592,0.016491,0.0826071,0.229865
