Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.168329,0.000210446,0.03663,7.80E-06,0.358694,0.00166607,4.51E+06,87454.2,660.742,0.00755529,0.0950691,0.241589
1,1,0.5,4,0,0.169201,0.000290474,0.03069,7.04E-06,0.464737,0.00329552,1.43E+06,47004.3,403.186,0.00857764,0.107821,0.230581
2,1,0.5,4,0,0.165972,0.000276487,0.02772,1.28E-05,0.816756,0.00827349,385959,21769.4,231.765,0.0106464,0.110532,0.221412
3,1,0.5,4,0,0.163844,0.000401598,0.03069,2.18E-05,1.55354,0.0230676,104202,10474.8,141.064,0.013467,0.102464,0.225224
4,1,0.5,4,0,0.163053,0.00059641,0.03267,3.42E-05,4.33105,0.12232,29383,4718.48,85.5219,0.0181249,0.0977127,0.228393
5,1,0.5,4,0,0.161745,0.000568702,0.028116,7.19E-05,7.75306,0.429798,9376,2265.4,55.3444,0.0244303,0.105513,0.217977
6,1,0.5,4,0,0.17592,0.000236315,0.03465,1.47E-05,0.0995272,0.000524532,3.26E+07,207297,1609.72,0.00776528,0.10662,0.24522
7,1,0.5,4,0,0.175008,0.000369757,0.03465,1.52E-05,0.175737,0.000992718,1.01E+07,132663,1037.68,0.00782192,0.105708,0.244308
8,1,0.5,4,0,0.177359,0.000483691,0.03168,1.70E-05,0.151817,0.00190393,2.59E+06,42536.8,491.032,0.0115437,0.113999,0.240719
9,1,0.5,4,0,0.171701,0.000654176,0.03069,3.34E-05,0.283593,0.00416693,644783,17238.7,265.897,0.0154244,0.110321,0.233081
10,1,0.5,4,0,0.165093,0.000622369,0.03168,0.000134136,0.794982,0.012024,161404,6838.73,148.889,0.0217714,0.101733,0.228453
11,1,0.5,4,0,0.164769,0.000693973,0.03366,7.00E-05,2.1428,0.0485394,43759,3991.81,92.0869,0.023069,0.0974492,0.232089
12,1,0.5,4,0,0.173006,0.000251456,0.03636,2.46E-05,0.0526641,0.000243462,1.47E+08,358184,3548.33,0.00990644,0.100286,0.245726
13,1,0.5,4,0,0.183563,0.000902044,0.035937,0.000551441,0.0526663,0.000413706,4.49E+07,96093.1,2039.22,0.0212213,0.111689,0.255437
14,1,0.5,4,0,0.1375,1.06E-06,0.0441875,2.77E-06,0.315144,0.0010909,1.10E+07,60513.9,1095.54,0.0181039,0.049125,0.225875
15,1,0.5,4,0,0.13875,1.01E-05,0.042925,2.96E-05,0.358043,0.00242774,2.60E+06,17179.4,534.919,0.0311372,0.0529,0.2246
16,1,0.5,4,0,0.1425,0.000127553,0.0391375,6.74E-05,0.522639,0.00566406,600463,7635.71,270.152,0.0353801,0.064225,0.220775
17,1,0.5,4,0,0.157093,0.00119456,0.037875,0.000633455,0.9574,0.0148635,146146,9192.41,151.592,0.016491,0.0813428,0.232843
