Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.208253,0.0327245,-0.0623562,0.247496
1,0.065708,0.0405428,-0.0732856,0.327674
2,0.130891,0.0459559,0.330572,0.281158
3,0.0847766,0.0634482,0.462987,0.513235
4,0.178216,0.0939507,0.525982,0.560213
5,-0.00154989,0.114533,0.946391,1.0997
6,0.182907,0.0325354,0.184712,0.231194
7,0.170121,0.0258152,0.495163,0.532203
8,0.159307,0.0291605,0.104767,0.51972
9,0.0633701,0.0489719,1.14351,0.745757
10,0.0704809,0.0782693,0.252253,0.697858
11,0.111573,0.0747224,0.0713969,0.322818
12,0.10374,0.0406781,0.251262,0.183553
13,0.0466649,0.101687,0.126063,0.516794
14,0.162976,0.0819664,0.0149227,0.630294
15,0.0458002,0.106454,-0.553217,0.823808
16,0.233045,0.158216,0.00287543,1.02711
17,0.160795,0.0597976,0.0623334,0.240111
