Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.196276,0.0340042,-0.0828148,0.255821
1,0.111556,0.0341598,0.00463668,0.251186
2,0.146288,0.0363577,0.273378,0.194563
3,0.0793351,0.0596418,0.564742,0.489674
4,0.214483,0.0853499,0.423511,0.440213
5,0.034504,0.104247,0.725256,0.790992
6,0.191469,0.0302819,0.17091,0.25983
7,0.165576,0.0242698,0.461422,0.48045
8,0.162601,0.0400095,0.186299,0.749352
9,0.0539401,0.0523401,1.04753,0.712781
10,0.0993506,0.0699179,0.220289,0.645631
11,0.161583,0.0630909,-0.00219021,0.32172
12,0.108575,0.028735,0.126612,0.164275
13,0.0915934,0.0439612,0.0423178,0.214341
14,0.155438,0.0569042,0.20241,0.395277
15,0.0287671,0.0869995,-0.161734,0.555394
16,0.272498,0.122818,0.140806,0.853328
17,0.149552,0.0475281,0.080246,0.204582
