Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.20751,0.0332818,-0.176849,0.218189
1,0.12235,0.0360324,0.122119,0.306356
2,0.149351,0.0398279,0.212388,0.254104
3,0.0888801,0.0550302,0.501503,0.424732
4,0.206121,0.0740533,0.544965,0.414133
5,0.0349332,0.102881,0.565724,0.655664
6,0.190406,0.0278427,0.127136,0.234489
7,0.170758,0.0223112,0.387417,0.468575
8,0.197449,0.0254027,0.0483101,0.48262
9,0.114358,0.0399446,0.912998,0.608223
10,0.140924,0.0519938,0.00988311,0.487446
11,0.202241,0.0535339,0.0118552,0.329528
12,0.111535,0.0341678,0.0957684,0.14004
13,0.102948,0.0348485,-0.00868175,0.164411
14,0.148347,0.016851,0.122395,0.123485
15,0.0519072,0.0732685,-0.0763366,0.440536
16,0.182688,0.0495246,-0.09581,0.338766
17,0.151253,0.0441165,0.0598126,0.188786
