Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.236202,0.024113,-0.0770712,0.159209
1,0.110759,0.0418064,0.0936412,0.335646
2,0.144027,0.0413139,0.248375,0.258155
3,0.116441,0.0527837,0.454524,0.413791
4,0.214388,0.0656068,0.450642,0.339538
5,0.0496161,0.0973996,0.520058,0.571847
6,0.194369,0.0214517,0.0884046,0.174463
7,0.187795,0.0213557,0.387064,0.448028
8,0.194925,0.0233625,-0.0361951,0.457404
9,0.0924781,0.0466359,1.09979,0.693685
10,0.147732,0.0528285,0.0248318,0.510349
11,0.22484,0.0508071,-0.0292606,0.333713
12,0.127306,0.0434451,0.0782397,0.171895
13,0.104063,0.0304506,-0.0630431,0.130283
14,0.135552,0.040419,0.0691127,0.281237
15,0.111714,0.026099,-0.12953,0.174162
16,0.177114,0.0405111,-0.107781,0.277549
17,0.153517,0.0426279,0.0287467,0.165657
