Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.256915,0.0228168,-0.0381948,0.120861
1,0.129166,0.0358089,0.0979551,0.292164
2,0.160628,0.0386087,0.208003,0.235455
3,0.132741,0.0480525,0.349651,0.372745
4,0.228091,0.0630926,0.381794,0.338214
5,0.0520663,0.09604,0.530422,0.570383
6,0.195117,0.021814,0.144674,0.211503
7,0.196186,0.018982,0.322507,0.380342
8,0.170571,0.0348345,-0.237003,0.649266
9,0.0823638,0.0527823,1.23156,0.777463
10,0.163168,0.0466353,0.0859906,0.446593
11,0.242085,0.0442667,0.0699093,0.29282
12,0.114425,0.0249876,0.0438692,0.106473
13,0.103609,0.0359239,-0.0918806,0.166649
14,0.142853,0.0134793,0.0837821,0.0942663
15,0.118504,0.0219877,-0.0741956,0.141638
16,0.17822,0.036312,-0.139056,0.253013
17,0.146546,0.0387143,0.067075,0.172685
