Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.170027,0.000203335,0.0202,4.97E-05,0.250495,0.00193946,4.51E+06,87454.2,660.742,0.00755529,0.129627,0.210427
1,1,0.5,4,0,0.16698,0.000226622,0.0200853,0.000322901,0.406771,0.00368863,1.43E+06,47004.3,403.186,0.00857764,0.126809,0.20715
2,1,0.5,4,0,0.165225,0.000276386,0.0199232,0.000248349,0.681453,0.00819582,385959,21769.4,231.765,0.0106464,0.125379,0.205072
3,1,0.5,4,0,0.162751,0.000331553,0.0202,4.47E-05,1.11147,0.0188449,104202,10474.8,141.064,0.013467,0.122351,0.203151
4,1,0.5,4,0,0.162741,0.000459399,0.0202,4.68E-05,1.81793,0.0485693,29383,4718.48,85.5219,0.0181249,0.122341,0.203141
5,1,0.5,4,0,0.161072,0.000659243,0.0202,8.22E-05,2.84028,0.122185,9376,2265.4,55.3444,0.0244303,0.120672,0.201472
6,1,0.5,4,0,0.17136,0.000255011,0.0202,7.08E-06,0.0869577,0.000677593,3.26E+07,207297,1609.72,0.00776528,0.13096,0.21176
7,1,0.5,4,0,0.174167,0.00028027,0.02475,0.000435092,0.140517,0.00110858,1.01E+07,132663,1037.68,0.00782192,0.124667,0.223667
8,1,0.5,4,0,0.171407,0.000305119,0.0202,4.94E-05,0.21421,0.00251906,2.59E+06,42536.8,491.032,0.0115437,0.131007,0.211807
9,1,0.5,4,0,0.16959,0.000407315,0.0202,0.000253857,0.322447,0.00516535,644783,17238.7,265.897,0.0154244,0.12919,0.20999
10,1,0.5,4,0,0.168318,0.000582931,0.0198,0.000235447,0.446123,0.0103596,161404,6838.73,148.889,0.0217714,0.128718,0.207918
11,1,0.5,4,0,0.164747,0.000609843,0.0202,7.39E-05,0.889404,0.0244381,43759,3991.81,92.0869,0.023069,0.124347,0.205147
12,1,0.5,4,0,0.174153,0.00036492,0.0202,6.03E-06,0.0292815,0.000290196,1.47E+08,358184,3548.33,0.00990644,0.133753,0.214553
13,1,0.5,4,0,0.187641,0.000630639,0.02222,0.000308715,0.0236546,0.00050212,4.49E+07,96093.1,2039.22,0.0212213,0.143201,0.232081
14,1,0.5,4,0,0.18836,0.000722047,0.02525,0.00044848,0.0530966,0.000962543,1.10E+07,60513.9,1095.54,0.0181039,0.13786,0.23886
15,1,0.5,4,0,0.182326,0.00102316,0.02475,0.000496962,0.0638739,0.00199266,2.60E+06,17179.4,534.919,0.0311372,0.132826,0.231826
16,1,0.5,4,0,0.173706,0.00135328,0.02525,0.00049999,0.11685,0.00415935,600463,7635.71,270.152,0.0353801,0.123206,0.224206
17,1,0.5,4,0,0.156075,0.000849013,0.0303,5.56E-05,0.666716,0.0123744,146146,9192.41,151.592,0.016491,0.0954746,0.216675
