Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.171657,0.000210786,0.02376,1.28E-05,0.231434,0.00171707,4.51E+06,87454.2,660.742,0.00755529,0.124137,0.219177
1,1,0.5,4,0,0.165938,0.000246545,0.02376,0.000297994,0.483068,0.00360573,1.43E+06,47004.3,403.186,0.00857764,0.118418,0.213458
2,1,0.5,4,0,0.164968,0.000299035,0.02376,3.53E-05,0.922682,0.00964409,385959,21769.4,231.765,0.0106464,0.117448,0.212488
3,1,0.5,4,0,0.163916,0.000368635,0.02277,5.40E-05,1.20915,0.0201883,104202,10474.8,141.064,0.013467,0.118376,0.209456
4,1,0.5,4,0,0.162994,0.000458125,0.02376,0.000314827,2.27886,0.061628,29383,4718.48,85.5219,0.0181249,0.115474,0.210514
5,1,0.5,4,0,0.161573,0.000584623,0.02376,0.000343461,4.18484,0.196013,9376,2265.4,55.3444,0.0244303,0.114053,0.209093
6,1,0.5,4,0,0.174341,0.000265248,0.02772,7.21E-05,0.0852723,0.00056322,3.26E+07,207297,1609.72,0.00776528,0.118901,0.229781
7,1,0.5,4,0,0.173321,0.000238649,0.027324,0.000342201,0.154894,0.0010566,1.01E+07,132663,1037.68,0.00782192,0.118673,0.227969
8,1,0.5,4,0,0.177695,0.000430765,0.02475,2.07E-05,0.143926,0.00205927,2.59E+06,42536.8,491.032,0.0115437,0.128195,0.227195
9,1,0.5,4,0,0.169659,0.000485087,0.02376,6.43E-05,0.2684,0.00444453,644783,17238.7,265.897,0.0154244,0.122139,0.217179
10,1,0.5,4,0,0.16824,0.000619794,0.02376,9.48E-05,0.463199,0.00963884,161404,6838.73,148.889,0.0217714,0.12072,0.21576
11,1,0.5,4,0,0.164176,0.000653936,0.02424,0.000332339,1.15929,0.0286589,43759,3991.81,92.0869,0.023069,0.115696,0.212656
12,1,0.5,4,0,0.172798,0.000367239,0.02828,8.96E-06,0.0400495,0.000262917,1.47E+08,358184,3548.33,0.00990644,0.116238,0.229358
13,1,0.5,4,0,0.183451,0.000529667,0.027775,3.74E-05,0.0516637,0.000463353,4.49E+07,96093.1,2039.22,0.0212213,0.127901,0.239001
14,1,0.5,4,0,0.187531,0.000850452,0.032175,0.000438751,0.067311,0.000859394,1.10E+07,60513.9,1095.54,0.0181039,0.123181,0.251881
15,1,0.5,4,0,0.180879,0.00144305,0.0297,0.000545484,0.0745779,0.00182947,2.60E+06,17179.4,534.919,0.0311372,0.121479,0.240279
16,1,0.5,4,0,0.173401,0.00123951,0.0297,0.000495115,0.138378,0.0040197,600463,7635.71,270.152,0.0353801,0.114001,0.232801
17,1,0.5,4,0,0.156308,0.000874396,0.034845,0.000129273,0.801326,0.0131472,146146,9192.41,151.592,0.016491,0.0866175,0.225998
