Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.173636,0.000223305,0.02772,6.82E-06,0.247724,0.00164918,4.51E+06,87454.2,660.742,0.00755529,0.118196,0.229076
1,1,0.5,4,0,0.168715,0.000266898,0.02772,7.84E-06,0.478651,0.00359125,1.43E+06,47004.3,403.186,0.00857764,0.113275,0.224155
2,1,0.5,4,0,0.166002,0.000271424,0.02574,1.40E-05,0.761301,0.00809472,385959,21769.4,231.765,0.0106464,0.114522,0.217482
3,1,0.5,4,0,0.163329,0.000364975,0.02574,3.55E-05,1.27275,0.0199046,104202,10474.8,141.064,0.013467,0.111849,0.214809
4,1,0.5,4,0,0.163093,0.000526338,0.02772,4.56E-05,2.73475,0.0723443,29383,4718.48,85.5219,0.0181249,0.107653,0.218533
5,1,0.5,4,0,0.161719,0.000575702,0.02574,9.88E-05,4.65237,0.217452,9376,2265.4,55.3444,0.0244303,0.110239,0.213199
6,1,0.5,4,0,0.17533,0.000301854,0.03168,1.85E-05,0.0868338,0.000517944,3.26E+07,207297,1609.72,0.00776528,0.11197,0.23869
7,1,0.5,4,0,0.174886,0.000319823,0.0297,2.01E-05,0.158961,0.00106086,1.01E+07,132663,1037.68,0.00782192,0.115486,0.234286
8,1,0.5,4,0,0.171557,0.000401709,0.02772,4.45E-05,0.238639,0.0021856,2.59E+06,42536.8,491.032,0.0115437,0.116117,0.226997
9,1,0.5,4,0,0.168911,0.000495275,0.02574,0.000324281,0.40838,0.00507686,644783,17238.7,265.897,0.0154244,0.117431,0.220391
10,1,0.5,4,0,0.164736,0.000538672,0.0279189,0.000337693,0.707632,0.0116549,161404,6838.73,148.889,0.0217714,0.108898,0.220574
11,1,0.5,4,0,0.16424,0.000562253,0.02772,0.00038566,1.46433,0.0345884,43759,3991.81,92.0869,0.023069,0.1088,0.21968
12,1,0.5,4,0,0.178709,0.000363006,0.03232,3.80E-05,0.0391041,0.000246812,1.47E+08,358184,3548.33,0.00990644,0.114069,0.243349
13,1,0.5,4,0,0.184448,0.000456468,0.031108,0.000385854,0.0583065,0.000452052,4.49E+07,96093.1,2039.22,0.0212213,0.122232,0.246664
14,1,0.5,4,0,0.14125,1.57E-06,0.0404,2.13E-06,0.245517,0.0010748,1.10E+07,60513.9,1095.54,0.0181039,0.06045,0.22205
15,1,0.5,4,0,0.180754,0.00172575,0.03465,0.000493023,0.0778356,0.00168954,2.60E+06,17179.4,534.919,0.0311372,0.111454,0.250054
16,1,0.5,4,0,0.14625,7.92E-05,0.03535,4.96E-05,0.365421,0.00492268,600463,7635.71,270.152,0.0353801,0.07555,0.21695
17,1,0.5,4,0,0.156263,0.000917036,0.03636,0.000450183,0.903674,0.0142607,146146,9192.41,151.592,0.016491,0.083543,0.228983
