Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.220486,0.029524,-0.0585301,0.242423
1,0.0729066,0.0394348,-0.0658941,0.309807
2,0.119998,0.0431266,0.367855,0.235697
3,0.0972507,0.0592136,0.589401,0.463206
4,0.195931,0.0869302,0.49808,0.482066
5,0.00262888,0.112127,0.761184,0.884023
6,0.191791,0.0302642,0.284757,0.272249
7,0.168479,0.0260054,0.538277,0.505231
8,0.168921,0.0277399,0.00928213,0.608448
9,0.0878647,0.0474873,0.865347,0.659969
10,0.123016,0.0577858,0.207158,0.504843
11,0.151048,0.062897,0.00541524,0.321574
12,0.108658,0.0319586,0.236686,0.162547
13,0.0762802,0.0794086,0.0791965,0.38689
14,0.153094,0.0646821,0.198918,0.49097
15,0.039629,0.0883935,-0.0824093,0.63276
16,0.220028,0.0740826,0.1113,0.446804
17,0.148833,0.0477635,0.121001,0.225006
