Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.207437,0.0297707,-0.093864,0.202777
1,0.114092,0.0401452,0.0380042,0.330213
2,0.12806,0.0432582,0.294639,0.252375
3,0.0844959,0.0568901,0.525402,0.467178
4,0.197128,0.0808625,0.444798,0.422383
5,0.0281115,0.100846,0.583313,0.714066
6,0.190949,0.0258617,0.187764,0.242296
7,0.145735,0.0342881,0.694976,0.815664
8,0.185233,0.0241505,-0.0156851,0.491908
9,0.0600945,0.0522282,1.04985,0.748809
10,0.110561,0.057047,-0.0300662,0.579582
11,0.198375,0.0561921,0.00438243,0.340121
12,0.117062,0.0487333,0.233599,0.210591
13,0.0798191,0.0602275,-0.0705541,0.300868
14,0.160882,0.0203516,0.125471,0.154444
15,0.0635839,0.0398123,-0.137716,0.261322
16,0.194942,0.0579386,0.0440093,0.372706
17,0.147167,0.0521969,0.0402587,0.21174
