Index,WeightedMeanV2Corrected,v2_error,WeightedMeanV3Corrected,v3_error
0,0.219586,0.0265051,-0.112159,0.217988
1,0.154386,0.0329606,0.0618067,0.265232
2,0.14644,0.039238,0.228628,0.258956
3,0.0989705,0.0564186,0.519617,0.420159
4,0.216822,0.0684058,0.466415,0.367976
5,0.0420131,0.1006,0.510877,0.610896
6,0.193924,0.0212436,0.102147,0.175409
7,0.185473,0.0221524,0.386444,0.454249
8,0.179294,0.0359688,-0.0486828,0.674046
9,0.0976116,0.0494975,1.04185,0.729688
10,0.162052,0.0456416,0.0441253,0.458862
11,0.215099,0.0497071,0.00414143,0.331613
12,0.115499,0.0287581,0.129946,0.126991
13,0.0996159,0.0333659,0.0144181,0.137877
14,0.144481,0.0148945,0.104499,0.105004
15,0.0953283,0.0317013,-0.0941132,0.210699
16,0.181204,0.0458507,-0.0914681,0.295663
17,0.145998,0.0481297,0.0394847,0.192396
