#: Centrality,,,0-10%,,
$p_T$ (GeV/$c$),$p_T$ (GeV/$c$) LOW,$p_T$ (GeV/$c$) HIGH,$v_2$,stat. +,stat. -
1.25,1,1.5,0.0523,0.0031,-0.0031
1.75,1.5,2,0.0617,0.0019,-0.0019
2.25,2,2.5,0.0697,0.0018,-0.0018
2.75,2.5,3,0.0777,0.0022,-0.0022
3.25,3,3.5,0.0746,0.0029,-0.0029
3.75,3.5,4,0.0695,0.0034,-0.0034
4.25,4,4.5,0.0612,0.0042,-0.0042
4.75,4.5,5,0.0615,0.0054,-0.0054
5.5,5,6,0.061,0.0057,-0.0057
6.5,6,7,0.0391,0.0088,-0.0088
7.5,7,8,0.0526,0.0126,-0.0126
8.5,8,9,0.0467,0.0184,-0.0184
9.5,9,10,0.0419,0.0261,-0.0261
11,10,12,0.0055,0.0283,-0.0283
13,12,14,0.0615,0.0512,-0.0512
15,14,16,0.1435,0.1019,-0.1019
17,16,18,0.1409,0.1372,-0.1372
,,,,,
#: Centrality,,,10-20%,,
$p_T$ (GeV/$c$),$p_T$ (GeV/$c$) LOW,$p_T$ (GeV/$c$) HIGH,$v_2$,stat. +,stat. -
1.25,1,1.5,0.0996,0.002,-0.002
1.75,1.5,2,0.1208,0.0012,-0.0012
2.25,2,2.5,0.132,0.0012,-0.0012
2.75,2.5,3,0.1386,0.0014,-0.0014
3.25,3,3.5,0.1373,0.0019,-0.0019
3.75,3.5,4,0.1221,0.0022,-0.0022
4.25,4,4.5,0.1174,0.003,-0.003
4.75,4.5,5,0.1071,0.004,-0.004
5.5,5,6,0.0949,0.0041,-0.0041
6.5,6,7,0.0855,0.0066,-0.0066
7.5,7,8,0.0887,0.01,-0.01
8.5,8,9,0.0783,0.0148,-0.0148
9.5,9,10,0.0991,0.0211,-0.0211
11,10,12,0.0648,0.0236,-0.0236
13,12,14,0.1224,0.044,-0.044
15,14,16,0.1507,0.0753,-0.0753
17,16,18,-0.1153,0.1492,-0.1492
,,,,,
#: Centrality,,,20-30%,,
$p_T$ (GeV/$c$),$p_T$ (GeV/$c$) LOW,$p_T$ (GeV/$c$) HIGH,$v_2$,stat. +,stat. -
1.25,1,1.5,0.1346,0.0018,-0.0018
1.75,1.5,2,0.1572,0.0011,-0.0011
2.25,2,2.5,0.1704,0.0011,-0.0011
2.75,2.5,3,0.175,0.0014,-0.0014
3.25,3,3.5,0.1726,0.0018,-0.0018
3.75,3.5,4,0.1646,0.0023,-0.0023
4.25,4,4.5,0.1493,0.0031,-0.0031
4.75,4.5,5,0.1333,0.0041,-0.0041
5.5,5,6,0.1242,0.0039,-0.0039
6.5,6,7,0.1081,0.0066,-0.0066
7.5,7,8,0.1043,0.0103,-0.0103
8.5,8,9,0.0796,0.0156,-0.0156
9.5,9,10,0.0741,0.0222,-0.0222
11,10,12,0.0577,0.0249,-0.0249
13,12,14,0.0294,0.0455,-0.0455
15,14,16,0.0161,0.0801,-0.0801
17,16,18,0.1917,0.1424,-0.1424
,,,,,
#: Centrality,,,30-40%,,
$p_T$ (GeV/$c$),$p_T$ (GeV/$c$) LOW,$p_T$ (GeV/$c$) HIGH,$v_2$,stat. +,stat. -
