Run,Lumi_ub_inv
67597,0.3216
67598,0.5784
67599,1.8757
67600,1.536
67601,1.3258
67602,0.9596
67633,0.0955
67634,0.4128
67645,1.0479
67660,1.2438
67676,0.5201
67677,0.5612
67678,1.4172
67679,1.6283
67683,0.6706
67686,1.3967
67688,1.2554
67689,1.1542
67695,2.8386
67696,2.0454
67697,1.7157
67699,0.8121
67701,1.1894
67738,0.3699
67739,0.3541
67740,3.3343
67742,1.1392
67743,2.7674
67745,1.4673
67746,2.5601
67747,2.399
67748,2.2523
67749,2.1783
67750,0.3554
67759,0.3949
67770,2.9547
67772,1.0673
67777,2.4292
67778,0.4048
67779,0.676
67780,2.248
67781,2.1095
67782,0.3936
67784,1.0085
67785,3.2883
67786,0.5374
67788,0.5554
67794,0.5301
67929,0.0508
67930,0.6564
67932,2.8777
67933,0.8165
67934,2.5674
67935,0.2756
67936,0.9542
67938,0.6168
67939,1.3262
67941,0.3762
67942,0.731
67943,1.5839
67947,0.5053
67948,0.4115
67949,1.1914
67951,0.6184
67952,0.9131
67953,0.2729
67954,0.4582
67956,0.824
67959,0.8323
67960,0.429
67961,0.8389
67962,1.4202
67963,2.1995
67964,0.8537
68002,0.3398
68003,0.2181
68005,0.563
68006,0.7955
68011,0.8378
68018,0.727
68023,0.7179
68024,0.7107
68025,0.2332
68026,0.7452
68027,0.5863
68028,0.5669
68029,0.2907
68042,1.1218
68043,0.1828
68044,1.0233
68045,0.9836
68046,0.96
68047,0.077
68048,0.8974
68050,0.4963
68051,0.8549
68053,0.7496
68057,0.7697
68058,0.7601
68060,0.7478
68075,1.254
68076,1.1658
68077,1.0862
68078,1.0364
68079,0.8896
68082,1.3748
68084,0.2747
68085,1.2582
68086,1.1529
68087,1.1692
68089,1.1462
68090,0.6012
68099,3.2493
68100,1.8322
68102,2.7383
68103,1.294
68104,0.3981
68106,2.3702
68107,0.7021
68109,0.7328
68110,1.9288
68112,0.3223
68113,2.1339
68114,1.387
68117,1.293
68118,0.8544
68119,1.0991
68124,0.4759
68129,0.8199
68130,3.2177
68131,1.5326
68134,2.6719
68135,2.4901
68136,0.8729
68137,1.6857
68143,2.3951
68144,3.3021
68145,0.2008
68146,2.758
68148,1.2155
68149,1.9568
68152,3.2573
68154,0.3874
68155,0.8015
68156,1.6972
68157,2.8479
68159,0.4115
68160,0.0507
68177,2.5559
68178,0.2473
68179,0.9592
68180,1.2313
68207,2.6471
68208,0.6914
68209,2.9372
68210,2.286
68211,2.5281
68212,0.7595
68218,1.6517
68220,1.1534
68335,0.3661
68336,0.3415
68337,0.2547
68338,0.4709
68346,0.579
68347,1.6263
68348,1.8123
68376,1.5445
68382,1.6477
68386,0.77
68388,1.4369
68389,2.5504
68402,3.6061
68403,1.9069
68405,0.9134
68406,2.6475
68407,0.5035
68408,1.5875
68409,1.7696
68417,2.7297
68418,0.4071
68419,0.4014
68420,0.387
68436,1.3488
68439,0.6148
68470,1.4194
68487,3.3019
68488,2.3446
68489,0.367
68490,2.5999
68491,1.9006
68502,3.0987
68503,1.6229
68504,2.8359
68505,0.8473
68506,0.8263
68507,0.7222
68508,1.0883
68509,0.9124
68510,2.2763
68511,0.3621
68518,0.3617
68519,2.1567
68520,1.7248
