Run,Centrality,Centrality_default,CentralityScale,CentralityScale_default,CentralityVertexScale,CentralityVertexScale_default,CEMC_BadTowerMap,CEMC_calib_ADC_to_ETower,CEMC_calib_ADC_to_ETower_default,CEMC_hotTowers_fracBadChi2,CEMC_meanTime,HCALIN_hotTowers_fracBadChi2,HCALIN_meanTime,HCALOUT_hotTowers_fracBadChi2,HCALOUT_meanTime,MBD_QFIT,MBD_QFIT_default,SEPD_NMIP_CALIB,SEPD_EventPlaneCalib
68144,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
68130,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
68099,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
74243,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
74244,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
67770,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
68145,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
77565,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
68945,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
75866,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
78249,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
67932,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
78049,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
67785,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
77401,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
78239,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
72401,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
75703,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
77419,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
68927,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
71260,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
78029,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
78579,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
